20 20
1 1 20 20
S N N N NWS x x N EW N x x x E E x E x W E
x E W x x x x x N x x W x x WS E x x W x
N WS x E x x WS x x x x S W E x x x W x N
S E W x x x W x NEW x WS ES x E x N x S E x
E x N x x S S W x x S x x NE E N x x NS x
x S W E x W E x x x W W E x S NS x S x x
E x W E E E x x x x x x E W x E x x x x
N W S x x x x x x x x x N x x W E S E E
x E WS W x NES W x EW x W x NS x x W NE x E WS
E x W N x E x x x x E NW x S x x x x x x
x x x E W x x x x x W x x NW x x E x x x
x S N N S W EW x x N x x NE EW W x x x N x
WS x x N x x E x N W x x x W x W N x E x
ES x x x W N E WS x S x NW x x W x x S N x
x S N x x x x WS E x x W E x S x W E x N
N N N x x E x x S W N x N x x S x x x x
S x W x x x x x x x N S EW E W W S E N x
S x E E x x N NE x x x x x N x x x x S E
x x x x x S x NW S x x x W EWS x x W W x EWS
x x x x W x x W x x E x x E x x x x x W
0 0
