20 20
1 1 20 1
W E E E E E E E E E E E E E E E E E E E
x x x x x x x x x x x x x x x x x x x S
W W W W W W W W W W W W W W W W W W W S
S x x x x x x x x x x x x x x x x x x x
S E E E E E E E E E E E E E E E E E E E
x x x x x x x x x x x x x x x x x x x S
W W W W W W W W W W W W W W W W W W W S
S x x x x x x x x x x x x x x x x x x x
S E E E E E E E E E E E E E E E E E E E
x x x x x x x x x x x x x x x x x x x S
W W W W W W W W W W W W W W W W W W W S
S x x x x x x x x x x x x x x x x x x x
S E E E E E E E E E E E E E E E E E E E
x x x x x x x x x x x x x x x x x x x S
W W W W W W W W W W W W W W W W W W W S
S x x x x x x x x x x x x x x x x x x x
S E E E E E E E E E E E E E E E E E E E
x x x x x x x x x x x x x x x x x x x S
W W W W W W W W W W W W W W W W W W W S
S x x x x x x x x x x x x x x x x x x x
0 0
