20 20
1 1 20 20
W S x W NW NES x NE S W NW x x x x x N W E NEWS
S N N NW N N x N x E S S S E x W ES S S x
W x S x E x x x x S ES x EW x x W x x S E
x x N N ES x x x WS x x x E S ES EW x x WS NE
S N N x W S S x x NWS N x x N NW S NW x E x
x x E NS x x S E NS NW x N N W x W x x N E
W EW W N E E N x N x W x x x E x E x x x
S E E ES x NW NE ES ES NE x x N x x x N S x x
WS N W NE W x NE W x E x x NES E N E x S W WS
N x E x x x N N W S x ES W E NW ES x S S S
x x x W x N NE x S x N ES x EW W x x NWS x ES
S x x S x EW N N x E S W N x W x NEWS W x x
x W S x W x W EW NW x S x x x W S S x E N
S N EW x S W S E E x E x x W N E EWS N x WS
x ES x x E S E x WS N x x WS WS x S x x EWS NW
E x x W x N NE x W x x x S x x W W x x N
S x W W W NW E x W W x x S NW S x N EWS N W
x E x x N x x x NW S N x x N x W NS E N N
NE N NE x S EW E x W NW E S NW NS x x W E E N
E S NE E E EW W x W EWS x x N x ES x N x W EWS
0 0
