20 20
1 1 20 20
N N S W W NW W W N S N x x W N x x W x x
WS x x x x x x E x S N x E x x x N x E x
E x x S x x E x E N E x W x x x E x x x
x x E NE W W N S x x W S E x N N N x S NS
x N E x x N E x W E NW N W E x x x E x NW
E x x N S x N x E E x W N x NEW W W ES WS x
x N x x x W x W x x x S S N ES W x S x x
S S x x W x x x x x x E N x x W W WS x E
E x x x x x x N N x x x WS x x x EW S x x
x x x x x x N W E x x S x x x x x S S N
NS x x x x x x ES EW ES E x NE x EW N x W x x
S x x WS x NS x x NS S WS x W S x x W S x W
W x x x NEW x NS x x W W S N x x E EW W x x
x x W x ES x x x x x x N x N E N x W N N
x E x E N W NE W WS x WS N x W x NW x x W NS
x S x x x E x N S x E NS W N S x S EW E x
N x S x x x S W S x x x x E N E x x S S
x x x x x N E N E S x x x E x x x x x WS
E x x x x E W x x x W NE N x NWS x x x x E
W NE x x x x W x x x N N x x x N x x x E
0 0
