998 1000
29 463 546 30577914 22053425 1733069
863 841 897 10003113 311525 7032218
761 549 931 7463349 62770237 70512010
83 951 364 9191080 36738280 20821536
702 3 424 22823554 29304941 103556429
3 549 370 20705173 16439945 10932434
447 549 404 43291274 5775988 18865634
866 702 3 939689 22823554 23440625
891 897 585 1500242 11417941 20819101
692 2 615 39263002 9821965 75569981
582 130 952 15090413 60649250 53636949
708 852 879 7142605 3983706 14144197
854 785 184 9051545 25489732 6508913
708 852 514 7142605 48400265 88945700
388 3 88 17475498 9750632 47632730
951 650 820 15591220 31740426 31492018
781 785 1 42966100 26764324 3628960
840 34 460 9623700 16180805 40908185
492 752 204 17331124 10509421 6526241
773 3 50 8048548 4355381 21653873
22 619 127 22281857 74722050 16934321
563 960 240 22625450 19073956 83009378
311 3 2 19425874 2 19434560
918 464 25 32661250 75265252 12547386
672 687 240 52249466 94006120 29112394
702 3 446 22823554 16831957 5728077
1 204 20 7095169 24262600 5980509
3 204 417 7098944 3269237 18454165
974 3 487 21685586 23724698 59189968
327 549 3 45977237 20705173 28488512
130 269 582 16429088 61427925 15090413
388 3 744 17475498 23887010 77493512
594 227 280 58283930 95678461 10366585
730 77 2 39254848 2873050 22954058
53 88 3 20361034 9750632 11542802
520 679 3 29657641 38618842 3526225
830 3 792 29529557 12846145 70786538
805 781 87 29166586 6121076 51481442
26 723 907 9452304 67875274 75979906
243 163 418 37691876 62486792 97510180
557 781 1 20046401 3628960 34446889
998 365 302 20362241 16901008 10331665
388 716 944 52120802 68214970 64736744
428 388 486 41071826 74664 37744874
549 3 953 20705173 16000004 60761185
912 2 294 21279690 14555600 35972450
29 463 620 30577914 121033288 81460810
716 944 734 68214970 39420625 98883005
253 204 733 16778704 14036761 22994865
942 132 3 27488093 1313092 19110185
62 745 204 377330 6058825 7226885
549 813 108 9736393 15947693 32840996
197 879 346 18355930 53046981 60932005
243 163 781 37691876 1361266 26483962
296 77 730 17653445 39254848 61513285
878 199 560 7665617 23261725 5363272
802 204 54 30519953 34695172 2485145
655 3 1 9583880 1 9585949
549 3 453 20705173 35642345 108521074
951 897 978 55315298 23270650 10107368
497 947 549 24647285 36188165 1565962
682 546 315 3953305 42141109 22390850
297 3 88 11214985 9750632 8790125
1 3 553 1 9440041 9446050
111 460 188 10026770 27309965 51137525
762 3 130 13571237 10391265 14464964
865 130 875 3777001 39324834 35209129
802 799 684 4768520 23956594 25979546
850 538 547 101538340 30039629 102902293
36 447 368 14880001 21829520 4193065
495 120 460 12415277 12901165 5704976
204 678 238 9083474 84433297 76533557
94 777 962 19193345 51962896 9634313
549 342 144 2669453 59606165 45323314
237 302 391 30034954 14088962 2982340
253 3 932 10833296 29691257 75443985
487 3 972 23724698 6076196 53526050
