63
59 90 6 10
30 79 4 10
19 62 1 1
32 118 9 7
40 47 7 3
29 68 5 9
9 134 1 6
21 127 1 1
23 63 3 7
81 37 3 6
65 100 1 3
105 97 5 1
22 8 7 1
116 34 6 2
98 109 3 6
15 103 3 3
52 22 1 7
79 133 7 5
17 7 2 7
90 105 10 6
48 95 5 8
20 11 6 10
128 118 6 8
90 7 4 8
81 125 3 7
92 23 2 1
52 92 2 3
77 5 5 3
20 126 2 9
98 40 10 9
31 90 4 5
32 121 2 7
26 114 9 6
107 118 9 10
133 5 6 2
135 74 9 2
33 18 4 2
115 114 8 3
119 9 5 1
85 15 2 8
10 111 3 2
110 100 1 1
110 106 1 8
57 91 3 1
84 73 1 8
28 45 4 8
77 10 1 1
83 9 3 5
79 76 2 5
19 52 6 3
107 113 1 7
86 10 4 4
124 17 7 4
47 15 2 1
114 124 2 5
121 60 2 4
108 63 3 4
47 110 9 8
133 1 3 9
126 83 3 7
41 114 9 10
108 71 8 10
122 85 1 9
