794 916 28 886 9383
422 650 43 5386 8335
764 60 41 27 2362
737 173 27 540 3926
783 430 18 5368 5211
136 68 24 2862 1530
70 59 23 9802 3929
43 12 7 1393 8167
785 920 22 7373 6229
371 316 25 5198 8537
957 981 42 3526 6413
282 997 21 6862 1873
337 328 35 925 2305
858 314 30 846 6505
815 546 33 3895 6124
751 44 15 5434 3367
789 179 27 6808 1087
400 755 2 5403 3584
740 369 27 5060 9932
540 95 37 6226 12
468 379 35 570 795
493 318 3 97 6601
287 281 2 756 6652
620 445 40 3865 9441
98 118 32 4729 8440
928 710 26 4481 5771
587 354 48 7856 4567
625 220 34 5306 6965
504 830 33 2871 1528
716 709 19 8270 19
619 724 47 8149 6340
556 922 2 2846 2245
842 229 15 7488 2379
765 35 1 5193 2350
744 857 38 4914 124
937 860 16 2227 6491
276 229 38 2551 1432
396 859 22 1474 5407
819 794 36 1237 6029
530 929 12 6143 4428
614 764 44 2404 8776
819 905 41 8606 4538
918 918 20 688 5128
184 471 44 3324 6996
645 726 23 5499 8490
787 955 40 7505 5590
198 465 43 8082 7669
612 349 5 9355 9507
747 344 50 7828 3622
811 312 23 4340 5568
879 731 12 1801 7605
627 445 37 9320 1305
283 417 9 3465 8522
625 63 38 2924 3258
380 900 3 2036 2600
132 974 22 7468 5550
661 895 34 4930 3881
997 900 32 7199 163
191 669 14 3773 2959
341 85 17 2926 1095
937 543 27 7684 2090
419 180 7 7445 9107
660 173 49 9412 6887
588 343 11 2336 2009
322 373 14 9301 8206
905 722 50 4819 1255
706 668 41 9811 5939
659 985 1 1127 6228
397 270 23 9224 3920
973 293 35 5630 4081
223 386 26 3850 7672
714 899 43 6640 9299
210 591 25 6190 2298
156 733 37 8819 8581
274 770 30 8004 5994
143 861 6 8850 1776
622 206 44 5884 5579
755 962 14 2504 9567
203 203 45 4259 1326
869 843 22 6784 3506
959 909 23 5189 9528
249 754 9 8036 498
891 649 34 3333 3303
530 369 47 7567 9754
250 798 39 8046 4500
498 364 34 3303 6990
153 126 37 4892 253
730 158 39 5975 3996
461 922 15 2460 5436
749 51 28 28 6304
700 698 45 8902 7556
404 429 3 1039 1043
160 539 48 681 4500
693 340 35 2535 5151
50 630 5 6127 2215
336 344 30 8285 964
950 972 39 2900 3177
796 293 39 5367 289
683 391 30 3144 743
233 827 20 3541 5340
0 0 0 0 0
