1000
3111 -7232 3927 BAA
6651 -4443 4000 BAB
-3734 -8456 4628 BAC
8276 1329 4199 BAD
-3729 -1010 1929 BAE
-4707 -2625 2703 BAF
-1687 -5882 3055 BAG
2199 364 1124 BAH
7674 -9474 6104 BAI
-8668 -7683 5796 BAJ
-7980 -7148 5354 BBA
6354 -3413 3603 BBB
8565 -6511 5386 BBC
4868 1011 2494 BBD
-2639 -630 1352 BBE
-5153 2505 2871 BBF
4532 -9817 5407 BBG
2319 8981 4637 BBH
444 -659 404 BBI
-5806 8490 5145 BBJ
-8250 -5553 4964 BCA
1434 -5622 2901 BCB
-6018 -2192 3195 BCC
3166 -9407 4952 BCD
5385 -6683 4301 BCE
-8250 -8356 5872 BCF
4729 7395 4397 BCG
-3480 -2447 2130 BCH
8283 -382 4152 BCI
905 741 592 BCJ
-8945 -994 4505 BDA
-9317 -2030 4777 BDB
771 6493 3269 BDC
-3492 -5284 3174 BDD
-9009 3695 4875 BDE
-7096 1897 3668 BDF
-1727 -3128 1781 BDG
3937 -81 1969 BDH
-3116 -3047 2182 BDI
7630 9463 6073 BDJ
-341 6468 3234 BEA
6571 -7741 5081 BEB
-1984 -1892 1364 BEC
6217 -8824 5391 BED
4725 1816 2524 BEE
5239 1444 2725 BEF
7062 8439 5494 BEG
2317 8643 4473 BEH
7509 1524 3826 BEI
-1501 -2855 1607 BEJ
-7723 -7191 5284 BFA
-9024 -4440 5037 BFB
1709 -1330 1091 BFC
7042 3118 3850 BFD
1307 5269 2708 BFE
-2660 6420 3472 BFF
-7980 -4434 4568 BFG
8384 2391 4354 BFH
394 -4708 2364 BFI
-4778 4046 3124 BFJ
-4171 -3395 2694 BGA
-1962 2299 1512 BGB
4862 -3807 3082 BGC
-9 935 462 BGD
-3944 -6982 4017 BGE
-8289 -8638 5977 BGF
-9833 -4605 5426 BGG
5482 -4427 3528 BGH
-7564 7291 5245 BGI
7111 8492 5528 BGJ
-8146 -1232 4121 BHA
7773 9224 6027 BHB
-9919 8565 6561 BHC
4645 5236 3489 BHD
-4250 2759 2539 BHE
681 -6896 3469 BHF
6238 1711 3237 BHG
951 2930 1533 BHH
9382 3206 4967 BHI
7936 2851 4225 BHJ
-4093 10 2049 BIA
6450 -8768 5433 BIB
-8854 1725 4511 BIC
449 -4228 2118 BID
-4326 -680 2189 BIE
-4367 -1224 2267 BIF
1764 7613 3907 BIG
4443 7576 4398 BIH
6619 -4975 4137 BII
-4680 3306 2861 BIJ
-3075 -6044 3389 BJA
6090 -8061 5046 BJB
7586 1805 3899 BJC
-2631 -904 1399 BJD
7449 7134 5152 BJE
-368 -1909 962 BJF
9596 -8538 6421 BJG
-5215 -5094 3637 BJH
6957 -3341 3862 BJI
-2902 -3220 2160 BJJ
6889 9355 5816 CAA
6007 -8965 5396 CAB
-5672 -7341 4631 CAC
-1435 2066 1255 CAD
-6954 -4871 4244 CAE
1989 -4314 2381 CAF
-3739 -9430 5080 CAG
8644 -5297 5059 CAH
-2608 -7040 3747 CAI
-9850 -3755 5264 CAJ
922 -2832 1498 CBA
-4622 1861 2494 CBB
4337 5592 3546 CBC
5483 1613 2861 CBD
7492 -6358 4912 CBE
-3499 -6834 3832 CBF
3704 5295 3230 CBG
8837 -4107 4871 CBH
-9972 2279 5104 CBI
2831 2054 1740 CBJ
8667 -6241 5349 CCA
-9833 1828 4996 CCB
-1563 -4602 2438 CCC
7284 2247 3804 CCD
-5071 4664 3446 CCE
8830 9617 6522 CCF
-7601 -6627 5042 CCG
9521 9398 6680 CCH
-4427 5535 3539 CCI
-9903 1273 5002 CCJ
-6505 -2947 3565 CDA
820 -5116 2586 CDB
5236 9593 5474 CDC
5296 -7663 4658 CDD
-776 9230 4630 CDE
6172 -132 3077 CDF
1265 -2289 1315 CDG
-8221 8313 5854 CDH
2038 -7119 3710 CDI
7652 1890 3932 CDJ
8850 -1403 4483 CEA
-1459 -1995 1229 CEB
4792 -3401 2932 CEC
-7385 -4040 4216 CED
-9380 2066 4806 CEE
9718 82 4857 CEF
9287 -2163 4774 CEG
-4749 -3161 2855 CEH
955 2535 1353 CEI
-9920 -224 4963 CEJ
1153 6733 3422 CFA
3535 8399 4559 CFB
1643 -3544 1951 CFC
2984 87 1491 CFD
-9148 -4997 5214 CFE
8599 4694 4906 CFF
4712 -8982 5077 CFG
5736 -3233 3283 CFH
-4924 404 2478 CFI
8651 17 4334 CFJ
171 -1976 996 CGA
9553 7371 6026 CGB
-6912 -5367 4367 CGC
-1736 -3061 1766 CGD
-7201 2234 3774 CGE
5565 -8705 5165 CGF
8894 -5443 5215 CGG
7784 -5678 4819 CGH
2420 5961 3217 CGI
-1238 -6256 3181 CGJ
-186 4219 2101 CHA
-3691 2280 2166 CHB
-7350 -229 3680 CHC
-2162 -8064 4174 CHD
-7238 5703 4609 CHE
-7317 -8061 5435 CHF
5982 127 2989 CHG
2671 1421 1505 CHH
2997 -4778 2830 CHI
-4915 -7353 4417 CHJ
9617 3808 5178 CIA
36 2902 1450 CIB
763 5058 2560 CIC
-4689 34 2352 CID
-903 -1033 691 CIE
9165 4238 5057 CIF
-4398 -5493 3520 CIG
-8061 -5283 4819 CIH
4292 2058 2381 CII
-7736 4941 4598 CIJ
-6163 8794 5372 CJA
4563 2567 2610 CJB
-75 9117 4563 CJC
-8246 -4639 4729 CJD
830 -1310 774 CJE
3423 6552 3692 CJF
-15 3899 1956 CJG
-4313 -740 2198 CJH
-7911 6662 5165 CJI
6699 -3041 3669 CJJ
4031 -9753 5283 DAA
2097 6588 3450 DAB
6759 -3636 3834 DAC
-921 4253 2176 DAD
-7974 7605 5500 DAE
-5954 -8416 5144 DAF
5027 1931 2692 DAG
-7837 -341 3921 DAH
5288 -4782 3558 DAI
-9506 -4953 5364 DAJ
-9859 -1963 5024 DBA
8790 -2721 4601 DBB
-6510 -8839 5496 DBC
6050 8826 5357 DBD
3407 7819 4254 DBE
-5421 -8035 4855 DBF
-8774 -5313 5121 DBG
-8921 7593 5847 DBH
4069 -5933 3591 DBI
3950 3698 2708 DBJ
-9393 -8635 6371 DCA
632 -8970 4501 DCB
-6237 7163 4758 DCC
3252 8013 4322 DCD
-2401 -6608 3507 DCE
5735 9227 5432 DCF
6871 4042 3981 DCG
6669 6330 4598 DCH
4178 7269 4188 DCI
5978 -1392 3073 DCJ
4026 -5565 3437 DDA
-9436 -9664 6763 DDB
6609 -3057 3647 DDC
9547 9130 6606 DDD
-9716 8086 6318 DDE
-8562 7559 5708 DDF
-6808 8061 5269 DDG
1225 -1048 805 DDH
6869 -8198 5344 DDI
-2160 -1198 1237 DDJ
-1402 -6322 3232 DEA
380 1223 643 DEB
-3943 -3520 2644 DEC
8485 -8076 5863 DED
-9961 -8364 6502 DEE
-8976 -7726 5930 DEF
-3855 -3057 2451 DEG
1075 -3042 1617 DEH
-9094 8038 6067 DEI
3286 -3196 2286 DEJ
757 -1671 924 DFA
-5417 -7719 4723 DFB
558 -7372 3694 DFC
-60 -2793 1391 DFD
-9629 3619 5133 DFE
5175 3038 2992 DFF
-3016 32 1510 DFG
1176 -670 682 DFH
4839 6762 4153 DFI
-576 5620 2827 DFJ
6628 -9119 5638 DGA
1507 -8795 4451 DGB
3916 -1862 2163 DGC
5875 -5870 4148 DGD
-9330 -43 4672 DGE
1024 3375 1755 DGF
-8378 6886 5416 DGG
7760 3227 4193 DGH
-1568 5521 2864 DGI
5420 2866 3067 DGJ
5930 4732 3785 DHA
-9271 -4552 5159 DHB
-9593 6371 5757 DHC
-3712 -7362 4117 DHD
252 2807 1418 DHE
-8200 -4481 4668 DHF
162 6876 3436 DHG
7739 6805 5143 DHH
2976 5693 3213 DHI
1117 3308 1747 DHJ
6687 7860 5164 DIA
-3937 6721 3886 DIB
-7217 -7688 5278 DIC
7707 8934 5898 DID
-4613 5675 3646 DIE
2409 -5808 3134 DIF
3944 8077 4488 DIG
8017 -2099 4145 DIH
613 7441 3743 DII
-582 -9889 4962 DIJ
1054 -8145 4114 DJA
1317 6766 3443 DJB
-9946 5080 5582 DJC
-4379 608 2216 DJD
851 7752 3897 DJE
7694 -2369 4015 DJF
-7748 4896 4582 DJG
4271 8145 4604 DJH
-4845 4137 3194 DJI
6716 -8030 5233 DJJ
6702 7889 5169 EAA
1461 -8209 4173 EAB
4588 502 2305 EAC
-7037 7396 5099 EAD
2263 -6673 3530 EAE
-7522 -4493 4384 EAF
-7497 5113 4542 EAG
4846 9004 5102 EAH
6058 -7346 4769 EAI
1783 -2900 1699 EAJ
-7359 8293 5534 EBA
-897 4345 2211 EBB
-1709 -9569 4868 EBC
3787 -1169 1979 EBD
922 -8895 4477 EBE
-6341 -3935 3722 EBF
-190 -2364 1193 EBG
8886 -2265 4585 EBH
-4967 -4000 3180 EBI
733 4523 2290 EBJ
7770 -7195 5297 ECA
9565 -3679 5124 ECB
1056 -7911 3991 ECC
-6346 3256 3557 ECD
-1965 3886 2182 ECE
8020 1487 4084 ECF
6182 -5527 4142 ECG
-9544 2807 4971 ECH
4055 -2616 2409 ECI
-6948 -967 3497 ECJ
8837 -3457 4746 EDA
2312 8903 4597 EDB
8087 -424 4040 EDC
824 -4247 2172 EDD
-5392 9243 5346 EDE
-1096 4963 2550 EDF
-6632 6854 4776 EDG
2750 607 1411 EDH
-9171 1296 4634 EDI
2317 7676 4005 EDJ
8332 -4501 4730 EEA
