14 928
0 1 100000
15 1 100000
0 2 100000
15 2 100000
0 3 100000
15 3 100000
0 4 100000
15 4 100000
0 5 100000
15 5 100000
0 6 100000
15 6 100000
0 7 100000
15 7 100000
0 8 100000
15 8 100000
0 9 100000
15 9 100000
0 10 100000
15 10 100000
0 11 100000
15 11 100000
0 12 100000
15 12 100000
0 13 100000
15 13 100000
0 14 100000
15 14 100000
9 6 9383
15 1 6915
9 12 5386
11 10 1421
3 11 8690
2 12 3926
11 8 9172
13 7 5368
14 10 5782
15 3 5123
6 10 3929
7 13 3058
3 8 1393
13 5 8042
8 7 4421
4 14 8537
13 2 8315
4 11 3526
14 1 9956
1 4 9170
12 13 2305
9 0 6327
1 1 846
7 12 5857
14 1 9582
12 10 3367
15 6 4043
10 12 6808
11 0 5788
15 2 2651
12 4 9932
12 11 3368
14 10 6226
10 11 7539
11 10 1434
6 1 6601
12 12 3317
8 5 756
9 1 4286
11 12 9689
15 9 8440
11 1 8117
5 3 4481
0 7 8927
10 1 9497
11 10 6965
8 0 6219
13 4 2871
14 3 9503
11 12 3368
4 5 6340
5 10 723
9 11 2846
0 11 3555
1 4 7764
12 9 2350
12 4 7034
0 11 4914
3 11 3743
0 3 8365
5 7 1432
15 11 9228
10 9 1474
5 13 4395
10 1 8235
3 15 4428
8 9 5928
3 11 2404
14 10 4613
2 8 6840
9 0 5128
4 13 7917
14 15 3324
11 10 2183
12 5 9772
11 1 5590
5 10 2954
0 14 8082
11 3 197
3 12 8804
3 4 3622
0 2 7343
15 14 4340
9 5 3810
14 2 5661
0 8 1305
10 2 9444
8 4 3465
12 10 8282
8 14 7637
12 4 2600
14 3 1899
13 7 7468
2 9 7131
4 6 8933
13 15 163
15 4 8899
4 13 3773
14 7 7190
12 12 6466
0 4 2090
3 0 5542
11 12 7445
4 7 8418
11 12 3348
10 0 2009
14 3 6342
12 1 9301
3 7 5321
0 9 4599
4 3 5939
4 9 5667
0 14 1127
8 0 6658
4 5 2422
4 14 4081
8 4 9292
9 9 3850
0 3 1222
9 10 6042
12 14 2298
5 1 2590
4 8 8819
4 10 1155
9 1 379
7 2 1776
11 14 1860
5 9 5884
8 15 7621
2 9 613
0 3 1326
2 2 8202
10 5 6784
5 8 868
6 4 8872
8 4 498
7 8 7753
0 5 3333
15 10 2890
9 0 1746
12 14 4500
14 9 9797
3 9 3303
12 13 2497
0 5 7686
4 7 3996
12 1 9157
1 6 2460
12 0 460
12 2 8027
10 6 7556
3 11 7697
12 2 1039
9 4 6403
15 10 7647
6 7 5151
7 12 4339
13 8 6127
13 4 49
15 15 6429
6 4 3177
1 5 7971
4 4 5367
8 7 5795
2 6 2829
9 5 5340
5 8 3826
13 8 6042
1 9 8023
1 6 6309
5 15 8996
10 2 4234
14 9 4524
6 13 3168
12 10 6312
2 6 4346
10 8 4916
2 2 3529
11 10 2647
1 15 9080
0 3 857
3 14 1886
12 10 3512
9 10 9479
3 2 6189
9 12 7641
2 0 8987
4 10 4566
14 1 6856
13 9 2260
1 3 7205
15 1 8518
9 10 6873
3 1 7637
5 14 6607
1 7 9314
2 3 1100
12 9 9438
13 1 3074
6 5 3681
9 11 270
11 1 1839
5 10 2622
6 15 9847
4 14 6682
11 1 5791
14 13 1521
7 11 1491
9 13 9231
14 14 3740
9 13 4098
10 12 7516
4 11 2231
4 2 5404
2 13 9218
3 12 9862
0 13 4977
11 0 9904
9 15 9207
7 11 9744
4 14 127
1 10 7560
12 1 563
14 13 8711
11 15 3291
8 5 3614
5 6 8993
6 6 6882
5 14 6717
1 14 1574
15 13 1486
9 6 3074
10 9 8179
7 0 5775
6 12 5710
11 10 1017
1 11 1137
8 13 3943
6 11 925
4 1 4018
2 15 6963
8 2 3858
1 5 8571
1 5 9685
13 3 2604
7 12 9250
3 14 9485
0 5 4639
11 2 967
13 4 7677
12 8 865
14 10 7955
4 6 9211
9 11 5196
12 8 8270
8 10 4427
6 8 7283
11 7 5830
13 14 6950
2 11 3714
10 12 4047
4 0 9435
10 11 2954
6 8 5486
14 6 9159
8 1 9683
0 4 1723
7 10 9122
5 1 5821
0 3 2747
13 2 269
13 13 1703
8 7 907
0 5 2806
6 12 7084
8 15 2698
12 11 8898
7 13 5171
8 10 2506
11 5 8224
13 2 0
10 9 5053
2 5 1338
7 11 8067
4 7 6787
3 1 2122
14 3 4850
11 6 2254
6 1 3813
11 1 9181
14 1 5720
7 15 181
12 9 9296
7 12 8722
14 0 297
15 10 3181
3 12 7057
9 10 9999
10 0 7483
11 13 8977
13 6 9932
12 11 4266
5 11 3682
2 13 9086
2 7 5990
12 4 1476
8 5 1892
2 5 8839
2 0 1136
0 1 7643
6 13 6582
1 8 7955
13 10 6815
10 8 853
1 14 1783
6 3 9097
11 7 1269
0 14 3149
0 14 639
1 9 6610
15 0 3890
7 3 4552
1 3 8777
9 8 8566
8 15 2641
11 8 1298
2 13 6776
0 10 3428
14 9 308
8 11 2197
8 13 774
11 5 2325
14 15 8412
6 5 5421
5 6 2439
13 9 8159
10 1 1354
4 5 2972
14 10 1852
9 15 5482
7 5 5154
12 11 6506
11 7 4790
1 5 3172
7 12 8859
0 11 7280
2 5 6590
7 1 5352
1 13 3069
0 7 3083
6 10 9300
1 4 4667
8 10 1032
13 15 9875
9 10 3412
4 10 636
9 8 2844
10 1 6814
7 14 2326
15 9 6039
9 13 152
13 9 1790
8 1 9631
7 4 5735
1 9 1877
11 5 3198
4 1 5155
5 0 8156
3 6 8823
12 13 5358
9 5 3245
2 3 3990
3 2 4100
8 10 8364
1 15 2659
6 13 5844
7 0 1551
7 13 19
13 4 9304
11 2 2475
0 0 8967
4 6 1729
6 10 8131
0 6 9207
15 9 1183
13 13 7472
13 13 5062
10 0 6797
14 9 3141
1 4 5474
1 12 3485
7 13 30
2 0 6898
8 7 6424
2 6 1641
15 6 3480
12 12 8789
13 10 2723
6 15 2493
10 1 4220
6 15 9613
3 13 8270
4 15 7829
11 7 8743
2 0 3024
8 9 2386
5 14 9969
15 1 30
14 15 2587
15 11 9649
14 8 7339
11 6 7330
10 11 1349
2 3 3881
2 3 4133
11 5 3287
10 6 1519
11 4 244
10 15 6259
5 0 6353
13 12 8705
3 14 6799
15 3 4315
2 13 853
5 2 6487
10 9 5562
0 8 5205
5 13 6911
4 0 3403
5 2 821
1 3 2443
15 2 1528
2 13 2700
15 3 3787
1 10 2589
10 4 9426
3 10 3036
0 9 6092
0 4 5921
2 10 4166
5 5 4123
8 13 9484
5 9 3931
8 4 5165
3 1 7069
7 3 7422
1 15 8569
11 12 5676
15 13 5340
9 3 172
14 14 6527
12 10 5812
5 5 2124
10 3 5186
11 0 6794
15 14 6141
14 7 2437
10 3 3590
8 15 6513
11 12 8257
10 11 2346
4 15 1225
10 12 6421
13 14 634
13 8 356
11 6 5472
3 11 8111
6 1 7661
6 3 216
2 4 5344
13 14 6267
12 7 757
8 12 4650
6 7 1876
15 11 3953
5 11 1598
0 10 4937
1 8 2540
4 0 83
8 0 5609
7 11 2939
14 1 1304
11 11 164
2 15 4349
13 0 6339
9 14 1986
3 7 1079
11 4 2407
11 7 9561
11 0 9053
7 11 5494
8 3 7581
3 7 187
2 4 2438
2 8 1320
0 10 4486
7 2 6463
11 9 9010
2 2 6142
2 0 4425
13 6 2853
0 3 6748
8 14 516
12 5 5159
4 13 2553
15 3 3003
1 2 8107
10 5 9154
13 3 2334
13 12 6784
3 1 1763
6 13 6560
4 1 5185
9 8 5097
7 1 3349
10 12 2634
13 7 8585
2 10 4986
5 8 7892
1 8 9569
3 11 6366
0 12 2833
2 13 3847
10 6 2300
12 11 629
8 5 6508
0 14 775
10 8 3540
2 13 6518
10 14 9499
6 13 6908
