11 922
0 1 100000
12 1 100000
0 2 100000
12 2 100000
0 3 100000
12 3 100000
0 4 100000
12 4 100000
0 5 100000
12 5 100000
0 6 100000
12 6 100000
0 7 100000
12 7 100000
0 8 100000
12 8 100000
0 9 100000
12 9 100000
0 10 100000
12 10 100000
0 11 100000
12 11 100000
11 9 9383
1 1 6915
1 3 5386
3 2 1421
12 4 8690
10 9 3926
7 11 9172
3 3 5368
2 5 5782
4 10 5123
1 12 3929
4 5 3058
9 5 1393
11 1 8042
4 1 4421
0 5 8537
1 2 8315
4 0 3526
11 3 9956
10 6 9170
10 2 2305
4 1 6327
11 11 846
2 12 5857
3 2 9582
10 9 3367
2 1 4043
2 12 6808
7 3 5788
0 9 2651
4 7 9932
5 7 3368
6 12 6226
7 1 7539
11 2 1434
8 9 6601
9 5 3317
10 3 756
1 6 4286
10 8 9689
6 8 8440
1 4 8117
2 9 4481
5 0 8927
9 5 9497
5 3 6965
0 12 6219
3 0 2871
9 4 9503
5 1 3368
2 1 6340
8 7 723
5 7 2846
5 1 3555
10 3 7764
3 2 2350
2 0 7034
2 7 4914
8 12 3743
10 4 8365
0 11 1432
9 12 9228
3 2 1474
4 10 4395
10 10 8235
12 6 4428
0 10 5928
7 1 2404
8 10 4613
2 3 6840
0 4 5128
1 6 7917
6 5 3324
3 9 2183
2 5 9772
10 2 5590
8 3 2954
11 7 8082
11 3 197
3 6 8804
7 9 3622
2 0 7343
7 1 4340
3 4 3810
10 3 5661
2 9 1305
5 6 9444
1 3 3465
5 12 8282
0 1 7637
9 7 2600
11 0 1899
0 10 7468
6 11 7131
9 6 8933
6 1 163
1 9 8899
5 0 3773
4 3 7190
7 6 6466
1 12 2090
3 2 5542
1 7 7445
1 6 8418
10 11 3348
0 1 2009
9 7 6342
12 8 9301
4 10 5321
11 4 4599
12 11 5939
3 3 5667
10 7 1127
6 0 6658
4 11 2422
7 7 4081
2 9 9292
10 1 3850
7 1 1222
0 4 6042
11 4 2298
3 6 2590
11 12 8819
0 8 1155
11 10 379
7 6 1776
5 3 1860
7 12 5884
8 8 7621
1 9 613
5 8 1326
1 11 8202
0 2 6784
11 7 868
8 4 8872
1 7 498
7 4 7753
8 4 3333
5 2 2890
2 10 1746
10 6 4500
8 1 9797
12 12 3303
7 12 2497
0 10 7686
7 11 3996
11 5 9157
4 6 2460
9 1 460
8 6 8027
1 1 7556
2 2 7697
3 4 1039
2 9 6403
2 0 7647
0 0 5151
7 3 4339
0 2 6127
3 9 49
9 10 6429
11 12 3177
2 2 7971
7 0 5367
5 0 5795
5 7 2829
7 3 5340
10 8 3826
1 12 6042
10 9 8023
8 2 6309
9 3 8996
11 7 4234
11 1 4524
12 1 3168
8 5 6312
1 11 4346
11 6 4916
12 11 3529
8 4 2647
12 2 9080
4 9 857
1 4 1886
2 1 3512
5 7 9479
10 5 6189
10 8 7641
6 8 8987
4 8 4566
10 7 6856
12 7 2260
11 5 7205
4 11 8518
5 3 6873
12 10 7637
4 3 6607
1 8 9314
10 2 1100
5 7 9438
1 0 3074
10 2 3681
2 6 270
1 3 1839
6 1 2622
3 1 9847
8 9 6682
5 4 5791
7 9 1521
3 9 1491
6 0 9231
8 4 3740
3 8 4098
8 0 7516
9 8 2231
0 11 5404
9 1 9218
2 9 9862
11 8 4977
7 4 9904
10 9 9207
1 2 9744
9 8 127
12 3 7560
7 12 563
7 3 8711
8 12 3291
5 5 3614
2 3 8993
7 9 6882
5 8 6717
8 1 1574
3 3 1486
8 11 3074
7 1 8179
12 2 5775
11 6 5710
5 6 1017
8 10 1137
7 0 3943
4 0 925
5 11 4018
9 11 6963
7 8 3858
10 5 8571
1 12 9685
7 0 2604
2 9 9250
0 0 9485
2 6 4639
4 8 967
3 2 7677
1 5 865
11 1 7955
6 4 9211
5 4 5196
5 2 8270
1 12 4427
3 4 7283
9 4 5830
4 9 6950
9 7 3714
1 10 4047
4 12 9435
10 7 2954
2 2 5486
4 0 9159
5 7 9683
11 4 1723
2 3 9122
11 7 5821
7 0 2747
5 11 269
4 12 1703
0 1 907
4 9 2806
6 11 7084
1 5 2698
7 1 8898
0 2 5171
7 12 2506
9 5 8224
9 5 0
10 8 5053
1 3 1338
10 10 8067
9 4 6787
3 6 2122
4 0 4850
8 6 2254
10 2 3813
2 11 9181
8 3 5720
5 1 181
8 4 9296
5 8 8722
11 6 297
4 10 3181
5 4 7057
0 5 9999
2 7 7483
2 6 8977
6 2 9932
9 6 4266
0 10 3682
11 2 9086
6 5 5990
3 7 1476
7 0 1892
12 11 8839
8 8 1136
2 0 7643
4 11 6582
12 5 7955
10 4 6815
12 0 853
6 4 1783
3 7 9097
3 3 1269
3 4 3149
11 7 639
0 2 6610
12 0 3890
4 5 4552
8 9 8777
10 0 8566
2 2 2641
9 12 1298
12 1 6776
5 10 3428
1 5 308
4 0 2197
6 10 774
0 0 2325
9 5 8412
9 6 5421
0 9 2439
1 8 8159
2 9 1354
12 3 2972
7 1 1852
7 12 5482
7 8 5154
9 8 6506
1 9 4790
10 10 3172
6 8 8859
1 8 7280
0 4 6590
3 3 5352
4 7 3069
5 3 3083
3 2 9300
11 10 4667
9 4 1032
6 10 9875
1 12 3412
9 3 636
2 9 2844
5 7 6814
1 4 2326
5 8 6039
9 8 152
8 3 1790
0 9 9631
12 3 5735
11 10 1877
3 10 3198
2 0 5155
9 6 8156
2 0 8823
10 2 5358
5 10 3245
8 8 3990
6 4 4100
10 12 8364
9 11 2659
6 2 5844
8 3 1551
1 7 19
3 5 9304
8 8 2475
5 4 8967
3 10 1729
9 12 8131
8 3 9207
8 4 1183
11 7 7472
1 1 5062
10 11 6797
4 7 3141
0 4 5474
4 12 3485
