9 918
0 1 100000
10 1 100000
0 2 100000
10 2 100000
0 3 100000
10 3 100000
0 4 100000
10 4 100000
0 5 100000
10 5 100000
0 6 100000
10 6 100000
0 7 100000
10 7 100000
0 8 100000
10 8 100000
0 9 100000
10 9 100000
6 10 9383
4 1 6915
3 6 5386
7 8 1421
7 3 8690
10 9 3926
10 0 9172
0 5 5368
0 6 5782
10 3 5123
10 7 3929
9 7 3058
2 8 1393
10 7 8042
0 1 4421
9 4 8537
8 6 8315
2 2 3526
6 6 9956
7 5 9170
4 4 2305
9 6 6327
4 2 846
10 0 5857
0 4 9582
2 1 3367
7 9 4043
9 4 6808
2 9 5788
7 3 2651
9 8 9932
4 9 3368
5 9 6226
3 8 7539
5 7 1434
7 4 6601
5 8 3317
7 10 756
6 0 4286
9 8 9689
4 2 8440
3 10 8117
10 2 4481
5 10 8927
10 5 9497
3 10 6965
10 7 6219
9 6 2871
9 4 9503
7 3 3368
7 8 6340
4 9 723
7 1 2846
6 10 3555
0 8 7764
9 3 2350
5 1 7034
0 4 4914
2 4 3743
6 9 8365
1 9 1432
8 3 9228
9 8 1474
8 0 4395
4 8 8235
7 4 4428
9 2 5928
2 10 2404
4 3 4613
1 6 6840
10 0 5128
0 4 7917
7 10 3324
7 1 2183
2 9 9772
4 2 5590
7 5 2954
4 10 8082
6 3 197
10 1 8804
10 0 3622
1 1 7343
0 7 4340
1 3 3810
8 4 5661
9 10 1305
3 9 9444
0 6 3465
4 2 8282
3 4 7637
3 5 2600
2 5 1899
10 4 7468
0 1 7131
4 1 8933
4 5 163
0 1 8899
7 1 3773
9 6 7190
0 4 6466
5 1 2090
8 7 5542
2 3 7445
1 10 8418
1 6 3348
4 0 2009
5 0 6342
5 2 9301
9 4 5321
3 10 4599
2 8 5939
7 7 5667
10 9 1127
8 8 6658
3 10 2422
1 3 4081
2 0 9292
4 6 3850
8 7 1222
5 5 6042
2 2 2298
7 1 2590
6 9 8819
1 6 1155
0 1 379
1 9 1776
10 0 1860
6 6 5884
2 3 7621
5 10 613
7 9 1326
7 7 8202
5 3 6784
10 5 868
0 7 8872
9 10 498
8 3 7753
1 10 3333
2 7 2890
2 0 1746
0 6 4500
7 4 9797
8 9 3303
3 5 2497
8 4 7686
7 0 3996
10 0 9157
7 8 2460
2 0 460
0 3 8027
6 9 7556
10 1 7697
6 0 1039
0 3 6403
3 2 7647
3 2 5151
1 9 4339
9 0 6127
7 3 49
10 6 6429
9 3 3177
8 7 7971
9 7 5367
10 3 5795
1 2 2829
1 7 5340
10 6 3826
8 5 6042
0 9 8023
7 4 6309
8 10 8996
4 9 4234
0 8 4524
4 1 3168
4 3 6312
10 8 4346
3 3 4916
6 9 3529
4 3 2647
6 2 9080
3 0 857
0 6 1886
8 9 3512
7 8 9479
10 6 6189
5 5 7641
7 4 8987
5 1 4566
6 8 6856
8 0 2260
7 9 7205
0 3 8518
9 2 6873
6 8 7637
1 7 6607
4 6 9314
9 5 1100
10 7 9438
5 2 3074
3 2 3681
1 7 270
5 2 1839
5 8 2622
2 0 9847
7 9 6682
0 5 5791
5 6 1521
10 1 1491
0 1 9231
2 6 3740
7 9 4098
7 3 7516
4 0 2231
3 1 5404
1 9 9218
4 4 9862
10 2 4977
0 9 9904
0 0 9207
6 7 9744
4 5 127
6 4 7560
6 8 563
5 4 8711
3 0 3291
8 1 3614
8 2 8993
7 9 6882
5 3 6717
2 5 1574
7 10 1486
9 10 3074
6 6 8179
8 4 5775
8 4 5710
7 5 1017
9 8 1137
6 0 3943
7 2 925
1 1 4018
1 7 6963
0 7 3858
4 10 8571
6 7 9685
10 9 2604
2 3 9250
