13 926
0 1 100000
14 1 100000
0 2 100000
14 2 100000
0 3 100000
14 3 100000
0 4 100000
14 4 100000
0 5 100000
14 5 100000
0 6 100000
14 6 100000
0 7 100000
14 7 100000
0 8 100000
14 8 100000
0 9 100000
14 9 100000
0 10 100000
14 10 100000
0 11 100000
14 11 100000
0 12 100000
14 12 100000
0 13 100000
14 13 100000
12 1 9383
10 8 6915
9 12 5386
7 2 1421
8 4 8690
6 0 3926
11 1 9172
9 12 5368
2 5 5782
10 7 5123
12 12 3929
12 14 3058
1 1 1393
3 9 8042
14 14 4421
14 8 8537
8 0 8315
5 1 3526
2 3 9956
1 1 9170
14 0 2305
5 11 6327
13 9 846
0 9 5857
14 0 9582
14 14 3367
7 5 4043
8 6 6808
3 9 5788
4 14 2651
11 0 9932
7 4 3368
9 6 6226
10 0 7539
2 13 1434
2 2 6601
7 12 3317
5 1 756
0 1 4286
14 4 9689
6 9 8440
11 12 8117
9 5 4481
1 12 8927
6 3 9497
8 1 6965
13 14 6219
14 2 2871
0 14 9503
5 13 3368
6 9 6340
10 8 723
1 6 2846
13 14 3555
1 8 7764
10 13 2350
9 4 7034
11 2 4914
2 6 3743
1 9 8365
2 11 1432
2 5 9228
8 1 1474
7 14 4395
8 13 8235
6 3 4428
11 9 5928
13 13 2404
11 8 4613
13 4 6840
9 3 5128
6 2 7917
0 3 3324
14 5 2183
4 5 9772
14 5 5590
9 1 2954
14 12 8082
0 12 197
11 8 8804
14 3 3622
8 1 7343
11 7 4340
1 0 3810
13 0 5661
11 0 1305
12 6 9444
1 8 3465
14 8 8282
14 12 7637
2 6 2600
10 9 1899
3 11 7468
10 6 7131
10 14 8933
11 4 163
9 1 8899
3 13 3773
11 10 7190
0 14 6466
6 14 2090
7 6 5542
4 6 7445
2 2 8418
9 7 3348
5 11 2009
6 2 6342
12 13 9301
14 10 5321
14 6 4599
5 1 5939
3 5 5667
9 5 1127
4 0 6658
11 14 2422
14 0 4081
2 12 9292
0 10 3850
10 4 1222
8 8 6042
9 5 2298
6 14 2590
12 1 8819
4 14 1155
3 14 379
10 0 1776
14 7 1860
10 13 5884
14 7 7621
14 1 613
4 9 1326
11 7 8202
12 1 6784
4 3 868
3 3 8872
3 6 498
3 8 7753
8 13 3333
7 9 2890
9 8 1746
3 6 4500
10 14 9797
3 13 3303
7 8 2497
2 0 7686
8 10 3996
1 9 9157
6 14 2460
8 14 460
8 5 8027
14 2 7556
13 4 7697
3 2 1039
11 5 6403
4 3 7647
14 5 5151
0 2 4339
14 9 6127
5 9 49
10 8 6429
13 10 3177
9 14 7971
12 13 5367
9 8 5795
12 10 2829
9 6 5340
11 2 3826
12 0 6042
6 11 8023
0 0 6309
2 12 8996
1 0 4234
14 2 4524
8 0 3168
10 1 6312
9 6 4346
3 2 4916
10 6 3529
6 10 2647
13 11 9080
2 7 857
10 9 1886
12 5 3512
4 5 9479
5 14 6189
3 5 7641
13 13 8987
4 10 4566
6 12 6856
2 4 2260
2 4 7205
3 5 8518
8 8 6873
13 9 7637
12 3 6607
9 6 9314
8 4 1100
3 5 9438
7 8 3074
3 3 3681
7 4 270
13 14 1839
13 4 2622
7 6 9847
2 5 6682
0 2 5791
4 2 1521
1 7 1491
2 1 9231
5 9 3740
1 5 4098
7 1 7516
11 9 2231
10 8 5404
0 6 9218
9 7 9862
11 10 4977
3 6 9904
12 4 9207
6 9 9744
11 10 127
5 3 7560
14 9 563
14 5 8711
5 0 3291
13 4 3614
0 8 8993
7 2 6882
3 5 6717
13 1 1574
8 3 1486
3 14 3074
12 2 8179
9 8 5775
9 2 5710
5 11 1017
13 6 1137
8 13 3943
5 1 925
6 7 4018
10 5 6963
9 0 3858
3 6 8571
3 4 9685
5 1 2604
8 3 9250
0 11 9485
5 4 4639
13 11 967
6 6 7677
11 0 865
3 0 7955
2 12 9211
6 4 5196
7 14 8270
10 9 4427
13 2 7283
2 8 5830
13 0 6950
12 4 3714
12 14 4047
4 12 9435
8 3 2954
13 5 5486
12 2 9159
13 11 9683
7 14 1723
0 9 9122
0 2 5821
11 1 2747
11 13 269
8 13 1703
3 9 907
0 7 2806
9 3 7084
6 6 2698
12 5 8898
14 9 5171
1 0 2506
9 4 8224
14 13 0
4 11 5053
6 14 1338
13 2 8067
2 11 6787
0 1 2122
5 4 4850
6 0 2254
14 12 3813
3 1 9181
2 8 5720
5 12 181
4 0 9296
6 7 8722
9 7 297
10 1 3181
0 8 7057
7 12 9999
4 1 7483
12 4 8977
6 2 9932
10 13 4266
10 6 3682
10 5 9086
9 3 5990
10 1 1476
3 0 1892
0 5 8839
8 0 1136
13 2 7643
0 6 6582
5 13 7955
12 10 6815
2 3 853
12 10 1783
6 12 9097
6 1 1269
3 5 3149
3 8 639
12 8 6610
4 6 3890
2 1 4552
12 14 8777
7 7 8566
3 10 2641
0 14 1298
1 5 6776
13 14 3428
13 8 308
7 10 2197
5 10 774
13 2 2325
12 7 8412
4 8 5421
6 4 2439
12 5 8159
2 11 1354
1 1 2972
2 10 1852
12 14 5482
0 8 5154
9 6 6506
1 13 4790
2 2 3172
6 13 8859
11 12 7280
0 11 6590
1 10 5352
11 7 3069
2 1 3083
3 11 9300
9 9 4667
14 14 1032
1 9 9875
14 8 3412
11 5 636
14 0 2844
9 5 6814
8 11 2326
10 4 6039
13 1 152
14 14 1790
14 13 9631
0 13 5735
8 8 1877
5 9 3198
13 13 5155
3 10 8156
6 1 8823
10 2 5358
11 6 3245
10 13 3990
0 14 4100
14 7 8364
14 9 2659
8 9 5844
13 6 1551
8 3 19
1 1 9304
11 6 2475
2 7 8967
8 12 1729
14 2 8131
6 13 9207
7 2 1183
2 13 7472
8 0 5062
3 6 6797
