7 914
0 1 100000
8 1 100000
0 2 100000
8 2 100000
0 3 100000
8 3 100000
0 4 100000
8 4 100000
0 5 100000
8 5 100000
0 6 100000
8 6 100000
0 7 100000
8 7 100000
0 7 9383
7 5 6915
6 3 5386
4 5 1421
5 7 8690
0 6 3926
8 1 9172
6 6 5368
8 8 5782
1 1 5123
0 0 3929
3 5 3058
4 7 1393
0 6 8042
5 2 4421
2 5 8537
2 3 8315
8 1 3526
5 0 9956
4 4 9170
5 0 2305
8 2 6327
4 3 846
0 0 5857
2 0 9582
5 2 3367
7 5 4043
8 6 6808
6 3 5788
1 8 2651
8 6 9932
1 1 3368
3 0 6226
1 0 7539
8 1 1434
2 5 6601
7 0 3317
2 7 756
6 1 4286
5 1 9689
0 6 8440
2 6 8117
0 2 4481
7 3 8927
6 3 9497
2 4 6965
1 2 6219
8 2 2871
0 2 9503
2 7 3368
6 3 6340
1 5 723
4 6 2846
7 2 3555
1 5 7764
4 1 2350
6 4 7034
8 5 4914
8 0 3743
7 0 8365
8 2 1432
2 5 9228
8 7 1474
1 8 4395
5 7 8235
6 3 4428
2 0 5928
7 7 2404
5 2 4613
4 7 6840
6 0 5128
0 2 7917
6 3 3324
5 8 2183
1 2 9772
2 2 5590
3 7 2954
8 6 8082
0 3 197
5 2 8804
5 3 3622
5 4 7343
8 4 4340
7 6 3810
7 6 5661
8 3 1305
6 3 9444
1 5 3465
5 2 8282
5 6 7637
8 3 2600
1 6 1899
6 8 7468
1 0 7131
7 2 8933
2 7 163
3 4 8899
0 1 3773
2 7 7190
6 2 6466
0 2 2090
4 6 5542
4 6 7445
2 5 8418
3 1 3348
8 5 2009
3 5 6342
3 1 9301
8 7 5321
2 0 4599
2 7 5939
6 2 5667
3 8 1127
7 0 6658
8 5 2422
2 6 4081
8 0 9292
0 4 3850
7 7 1222
5 2 6042
3 2 2298
3 8 2590
3 1 8819
1 5 1155
6 8 379
1 6 1776
8 4 1860
4 4 5884
2 4 7621
2 4 613
4 6 1326
2 7 8202
3 7 6784
7 6 868
6 6 8872
3 3 498
6 2 7753
8 1 3333
1 6 2890
6 8 1746
3 3 4500
1 2 9797
6 4 3303
4 5 2497
8 0 7686
2 7 3996
4 0 9157
3 8 2460
8 2 460
5 5 8027
8 8 7556
1 7 7697
3 8 1039
8 2 6403
7 0 7647
5 5 5151
3 2 4339
2 3 6127
2 3 49
7 2 6429
7 1 3177
3 8 7971
3 7 5367
3 2 5795
3 1 2829
6 6 5340
8 2 3826
0 3 6042
3 5 8023
6 6 6309
5 3 8996
4 6 4234
2 2 4524
5 0 3168
4 4 6312
0 6 4346
0 2 4916
1 0 3529
6 1 2647
1 2 9080
2 1 857
7 6 1886
0 5 3512
7 5 9479
2 8 6189
6 5 7641
7 7 8987
7 7 4566
6 0 6856
8 1 2260
8 7 7205
3 8 8518
8 5 6873
4 0 7637
3 0 6607
6 0 9314
5 1 1100
3 2 9438
1 2 3074
0 0 3681
7 7 270
7 5 1839
1 1 2622
1 6 9847
8 8 6682
6 2 5791
7 2 1521
7 7 1491
8 1 9231
8 0 3740
4 8 4098
7 1 7516
8 0 2231
4 2 5404
3 0 9218
3 7 9862
5 1 4977
3 0 9904
3 7 9207
3 6 9744
2 4 127
2 0 7560
2 3 563
2 5 8711
2 6 3291
1 4 3614
0 8 8993
1 2 6882
6 2 6717
4 7 1574
8 3 1486
6 2 3074
0 8 8179
3 2 5775
0 8 5710
2 8 1017
1 0 1137
2 7 3943
2 7 925
0 7 4018
4 2 6963
6 0 3858
3 6 8571
3 4 9685
2 4 2604
8 6 9250
0 8 9485
5 1 4639
1 2 967
0 0 7677
2 3 865
0 0 7955
5 6 9211
0 7 5196
4 5 8270
1 0 4427
7 5 7283
8 2 5830
1 3 6950
0 4 3714
3 5 4047
1 0 9435
5 0 2954
4 2 5486
0 5 9159
7 8 9683
1 2 1723
3 3 9122
6 8 5821
8 7 2747
5 4 269
5 1 1703
3 6 907
3 7 2806
6 6 7084
6 0 2698
6 5 8898
8 6 5171
7 6 2506
3 4 8224
5 4 0
4 5 5053
0 8 1338
7 5 8067
5 8 6787
3 7 2122
8 4 4850
3 3 2254
8 6 3813
3 4 9181
8 8 5720
2 0 181
1 3 9296
6 1 8722
3 1 297
1 7 3181
6 8 7057
7 6 9999
4 4 7483
6 4 8977
6 8 9932
4 7 4266
7 0 3682
7 2 9086
6 3 5990
4 4 1476
3 0 1892
0 5 8839
2 0 1136
7 5 7643
6 0 6582
2 4 7955
3 1 6815
5 6 853
6 7 1783
0 3 9097
0 7 1269
3 8 3149
3 5 639
6 5 6610
7 3 3890
2 4 4552
3 8 8777
7 1 8566
6 1 2641
0 5 1298
7 2 6776
4 2 3428
7 2 308
4 1 2197
5 7 774
7 8 2325
6 1 8412
7 5 5421
6 4 2439
0 8 8159
2 2 1354
4 4 2972
5 1 1852
6 8 5482
3 5 5154
0 6 6506
1 1 4790
5 5 3172
0 7 8859
8 6 7280
0 5 6590
4 7 5352
5 4 3069
2 4 3083
6 2 9300
3 0 4667
2 8 1032
7 3 9875
5 5 3412
2 2 636
5 0 2844
3 8 6814
5 2 2326
1 1 6039
1 4 152
8 2 1790
8 7 9631
0 4 5735
5 5 1877
5 6 3198
4 4 5155
3 1 8156
3 4 8823
4 8 5358
8 6 3245
1 1 3990
6 8 4100
2 7 8364
5 6 2659
2 6 5844
4 0 1551
5 0 19
7 1 9304
5 3 2475
2 7 8967
2 0 1729
8 2 8131
6 1 9207
1 2 1183
8 4 7472
8 3 5062
6 3 6797
5 5 3141
0 0 5474
7 0 3485
5 6 30
8 4 6898
0 7 6424
1 3 1641
5 2 3480
8 1 8789
1 5 2723
6 3 2493
6 8 4220
6 1 9613
3 3 8270
6 5 7829
4 6 8743
6 3 3024
6 2 2386
8 4 9969
2 8 30
5 6 2587
2 2 9649
3 5 7339
4 4 7330
0 1 1349
5 3 3881
8 5 4133
8 8 3287
4 7 1519
1 2 244
7 7 6259
7 0 6353
3 7 8705
7 2 6799
7 5 4315
8 4 853
4 7 6487
3 7 5562
8 2 5205
2 4 6911
0 7 3403
1 5 821
6 5 2443
6 8 1528
2 5 2700
6 3 3787
4 5 2589
0 5 9426
1 3 3036
5 4 6092
3 5 5921
6 3 4166
2 8 4123
2 3 9484
5 6 3931
8 5 5165
5 3 7069
8 5 7422
2 8 8569
5 2 5676
8 4 5340
0 7 172
6 7 6527
1 6 5812
7 0 2124
4 6 5186
7 7 6794
2 1 6141
1 3 2437
1 8 3590
6 7 6513
2 1 8257
1 8 2346
5 8 1225
4 0 6421
1 6 634
6 2 356
5 0 5472
0 8 8111
8 5 7661
7 8 216
6 1 5344
5 1 6267
2 1 757
2 0 4650
8 7 1876
0 8 3953
0 8 1598
6 8 4937
2 8 2540
8 0 83
7 5 5609
0 3 2939
8 8 1304
7 0 164
5 3 4349
4 7 6339
2 8 1986
8 3 1079
7 8 2407
7 3 9561
3 5 9053
5 2 5494
2 4 7581
0 6 187
3 2 2438
1 5 1320
7 5 4486
8 6 6463
7 1 9010
1 6 6142
4 0 4425
6 3 2853
8 4 6748
6 2 516
8 8 5159
2 0 2553
8 4 3003
5 1 8107
4 5 9154
0 0 2334
0 0 6784
1 2 1763
3 0 6560
5 0 5185
2 7 5097
1 8 3349
5 1 2634
5 6 8585
1 2 4986
1 3 7892
8 3 9569
0 1 6366
0 4 2833
8 6 3847
4 3 2300
4 6 629
5 3 6508
1 8 775
1 5 3540
2 7 6518
5 8 9499
7 8 6908
0 8 4303
4 3 8432
7 1 9810
2 8 3596
6 1 8696
3 4 4465
0 3 5361
7 3 4187
4 2 5981
3 7 3879
3 6 3293
6 1 7135
7 2 6942
6 0 4163
5 1 8500
7 5 6234
1 1 5950
4 7 5339
6 4 2293
5 4 6382
0 3 323
8 1 6951
1 2 6465
8 7 4813
0 4 8977
5 7 5464
4 3 4107
0 7 5740
4 6 9587
0 2 8793
1 8 6620
0 0 7371
2 6 8534
8 0 3567
3 7 6067
0 8 7433
3 6 2132
8 8 5523
5 1 8147
5 0 2335
5 3 1968
3 3 339
7 1 936
7 8 7052
3 6 9204
1 3 9540
5 1 6997
2 5 3878
3 8 9170
4 7 1520
5 1 3660
8 8 2267
0 4 4292
7 2 2553
4 7 1862
5 4 1198
6 1 2376
1 1 9503
0 0 4673
5 3 3823
7 3 3044
4 7 8012
8 4 9747
8 8 3134
4 8 1742
6 3 1638
7 4 2958
6 2 1484
5 2 9090
8 5 3923
2 2 8320
8 3 6952
3 2 3807
2 0 2525
1 4 158
3 2 9560
5 4 2973
7 3 3748
0 8 9409
6 4 1832
6 4 9833
0 2 6127
3 2 6631
1 8 8341
5 5 7458
6 6 4901
1 2 1867
2 6 732
1 6 3705
5 1 5457
1 3 3461
1 6 6169
4 0 2538
3 5 5018
6 0 392
3 4 6754
4 2 5743
1 4 3021
5 4 3720
5 2 9634
6 5 1983
3 4 8142
4 2 5063
7 3 6554
7 5 1492
1 2 34
3 2 8094
5 4 8644
7 7 1784
1 1 6925
4 7 8602
6 3 296
0 0 840
3 7 512
7 8 7654
0 6 2428
2 6 6088
6 1 7797
3 5 3694
2 3 4782
0 4 2869
1 2 1417
8 4 9299
6 8 6350
5 8 292
3 5 5164
7 2 7721
0 1 6410
3 6 7902
4 7 5916
8 0 6439
1 6 7806
4 7 4511
1 7 5265
8 1 2976
2 2 9134
2 1 127
4 2 7697
8 6 6839
4 6 2986
4 6 5767
8 4 136
4 3 37
2 2 5367
1 5 3934
3 6 6095
2 0 631
5 8 3630
0 7 9242
7 0 1161
2 4 4169
5 7 1135
8 0 6180
8 7 5900
4 4 2996
0 2 4114
7 0 4416
6 2 1625
4 5 8502
2 4 2949
6 1 7235
2 8 7799
2 6 1502
7 8 3799
2 1 9013
2 7 3766
2 4 7194
3 5 5776
6 7 7209
1 0 4684
2 1 4835
0 2 9781
6 8 2362
3 2 6264
4 3 6853
1 0 769
5 3 4105
8 7 1142
6 5 4565
6 6 7265
5 1 3107
7 1 3558
4 2 5160
5 4 5038
8 3 1796
8 2 8430
3 3 5407
8 7 3495
2 1 7967
8 1 29
8 3 2631
0 5 3007
0 7 1662
5 6 96
6 6 2110
8 1 3069
