8 916
0 1 100000
9 1 100000
0 2 100000
9 2 100000
0 3 100000
9 3 100000
0 4 100000
9 4 100000
0 5 100000
9 5 100000
0 6 100000
9 6 100000
0 7 100000
9 7 100000
0 8 100000
9 8 100000
7 6 9383
5 3 6915
9 2 5386
7 2 1421
3 9 8690
6 0 3926
1 6 9172
9 7 5368
2 0 5782
5 7 5123
2 2 3929
7 9 3058
1 6 1393
3 9 8042
4 9 4421
4 8 8537
3 0 8315
0 1 3526
2 3 9956
1 6 9170
4 5 2305
5 6 6327
3 9 846
5 4 5857
4 5 9582
4 4 3367
7 0 4043
8 6 6808
3 4 5788
9 4 2651
6 0 9932
2 9 3368
4 6 6226
0 5 7539
7 8 1434
2 7 6601
2 2 3317
0 1 756
5 1 4286
9 4 9689
1 9 8440
1 7 8117
9 5 4481
6 7 8927
6 3 9497
3 6 6965
8 4 6219
9 2 2871
0 9 9503
5 8 3368
6 9 6340
5 8 723
1 1 2846
8 9 3555
1 8 7764
0 3 2350
4 4 7034
6 7 4914
7 1 3743
6 9 8365
7 1 1432
7 5 9228
8 1 1474
7 9 4395
8 3 8235
1 3 4428
6 9 5928
3 3 2404
6 8 4613
8 4 6840
9 8 5128
6 7 7917
0 3 3324
9 0 2183
4 5 9772
9 5 5590
9 6 2954
4 2 8082
5 7 197
1 8 8804
9 8 3622
8 6 7343
1 2 4340
1 5 3810
8 0 5661
6 0 1305
2 6 9444
6 8 3465
4 8 8282
4 2 7637
2 6 2600
0 9 1899
3 1 7468
0 1 7131
0 4 8933
1 9 163
9 6 8899
8 3 3773
6 5 7190
0 4 6466
6 4 2090
7 6 5542
9 6 7445
2 7 8418
9 2 3348
0 6 2009
6 7 6342
2 3 9301
9 5 5321
4 1 4599
0 1 5939
8 5 5667
4 0 1127
4 0 6658
6 9 2422
4 0 4081
2 2 9292
5 5 3850
0 9 1222
3 8 6042
4 0 2298
1 9 2590
2 6 8819
4 4 1155
3 9 379
5 0 1776
9 2 1860
5 3 5884
4 7 7621
4 1 613
4 9 1326
6 2 8202
2 1 6784
9 8 868
8 8 8872
8 6 498
3 8 7753
8 3 3333
7 4 2890
9 8 1746
8 6 4500
0 9 9797
3 3 3303
2 3 2497
2 5 7686
8 5 3996
6 9 9157
1 4 2460
8 4 460
8 0 8027
4 2 7556
3 9 7697
8 2 1039
1 0 6403
9 8 7647
4 5 5151
5 2 4339
9 4 6127
5 4 49
5 3 6429
8 0 3177
9 9 7971
2 8 5367
4 3 5795
2 0 2829
9 1 5340
1 2 3826
7 0 6042
1 1 8023
5 0 6309
7 7 8996
6 0 4234
4 7 4524
8 5 3168
0 6 6312
4 6 4346
8 2 4916
0 6 3529
1 0 2647
3 1 9080
2 7 857
5 4 1886
2 0 3512
9 0 9479
5 4 6189
3 0 7641
8 8 8987
4 0 4566
6 7 6856
7 9 2260
7 9 7205
3 5 8518
3 8 6873
3 9 7637
7 8 6607
9 1 9314
8 9 1100
8 5 9438
7 3 3074
8 3 3681
7 9 270
3 9 1839
3 4 2622
2 1 9847
2 0 6682
5 7 5791
4 7 1521
1 7 1491
7 1 9231
0 4 3740
1 5 4098
2 6 7516
6 9 2231
0 8 5404
0 1 9218
9 2 9862
6 5 4977
3 6 9904
7 9 9207
1 9 9744
6 0 127
5 8 7560
4 9 563
4 5 8711
5 5 3291
8 9 3614
5 8 8993
2 2 6882
3 0 6717
3 6 1574
3 3 1486
3 4 3074
2 7 8179
9 8 5775
4 2 5710
5 6 1017
3 1 1137
8 3 3943
0 1 925
6 7 4018
0 5 6963
4 0 3858
3 1 8571
3 9 9685
5 1 2604
3 8 9250
5 6 9485
0 9 4639
3 6 967
1 6 7677
6 0 865
8 0 7955
2 2 9211
1 9 5196
2 4 8270
0 4 4427
8 2 7283
7 3 5830
3 0 6950
2 9 3714
2 4 4047
4 2 9435
8 3 2954
8 0 5486
2 2 9159
8 1 9683
2 4 1723
5 4 9122
5 7 5821
6 1 2747
1 8 269
3 3 1703
8 9 907
0 7 2806
4 8 7084
6 1 2698
2 5 8898
9 9 5171
6 0 2506
9 9 8224
9 8 0
4 1 5053
6 9 1338
3 7 8067
2 1 6787
5 1 2122
0 9 4850
1 0 2254
4 7 3813
3 1 9181
2 3 5720
5 7 181
4 5 9296
1 2 8722
4 2 297
5 6 3181
5 8 7057
7 2 9999
4 6 7483
7 9 8977
1 2 9932
0 3 4266
5 1 3682
0 5 9086
4 3 5990
0 6 1476
8 5 1892
0 5 8839
8 0 1136
8 7 7643
0 1 6582
5 8 7955
7 0 6815
2 8 853
7 0 1783
6 7 9097
1 1 1269
8 0 3149
8 8 639
7 3 6610
9 6 3890
7 1 4552
7 9 8777
7 2 8566
8 5 2641
5 4 1298
6 5 6776
8 4 3428
8 3 308
2 5 2197
0 5 774
3 7 2325
2 7 8412
4 3 5421
1 4 2439
7 5 8159
2 1 1354
6 1 2972
2 0 1852
7 9 5482
5 3 5154
4 1 6506
1 3 4790
7 7 3172
1 8 8859
6 7 7280
0 1 6590
1 5 5352
1 7 3069
2 1 3083
8 6 9300
9 4 4667
4 4 1032
1 9 9875
9 8 3412
6 0 636
9 0 2844
4 5 6814
3 6 2326
5 9 6039
3 1 152
9 9 1790
4 3 9631
5 8 5735
3 3 1877
5 9 3198
8 3 5155
3 0 8156
1 6 8823
0 7 5358
1 1 3245
0 3 3990
5 4 4100
4 2 8364
9 9 2659
8 9 5844
3 6 1551
3 3 19
1 6 9304
1 6 2475
2 2 8967
8 2 1729
4 2 8131
6 8 9207
7 7 1183
7 3 7472
3 5 5062
8 6 6797
6 3 3141
3 0 5474
5 8 3485
9 9 30
2 0 6898
0 9 6424
0 2 1641
3 6 3480
8 0 8789
7 8 2723
0 1 2493
0 5 4220
8 1 9613
7 1 8270
0 1 7829
9 5 8743
4 8 3024
2 9 2386
3 0 9969
3 3 30
4 9 2587
1 9 9649
2 4 7339
5 6 7330
6 5 1349
4 1 3881
2 7 4133
3 3 3287
4 2 1519
9 4 244
8 3 6259
9 2 6353
3 4 8705
9 4 6799
7 5 4315
