998 1000
642 1 594 5045753 19065245 37117060
361 512 646 127282696 123984484 398564
955 888 655 44647202 52301125 34574717
614 928 872 18562234 3347450 9891176
1 2 731 1 21223490 21214289
7 2 633 9977521 29865481 19159754
457 410 835 4898233 34880872 50986757
521 75 181 10768853 40007965 46454290
75 402 181 40784873 1010546 40007965
607 343 461 36752729 17489365 97549570
407 252 1 12557165 15298205 11883890
374 884 457 7462802 13787153 40379373
457 581 499 7971322 32566932 32893858
888 343 955 551504 39737482 44647202
104 119 159 17174986 60406777 70554725
486 343 779 43224649 8884690 83440013
40 191 457 28420906 35523685 23173289
646 382 625 1977992 66029672 80695504
974 794 60 54867217 10908781 30431810
436 520 742 16694053 30199705 36791954
964 457 821 23906600 29916297 104782301
248 860 576 37949984 75327930 8657402
200 868 870 41537077 25756417 5489764
711 379 444 4312037 13242041 32356840
517 1 2 18476973 1 18474250
457 60 735 873953 23909405 19644232
224 191 942 77403977 29154185 32358820
522 457 76 10163929 8891177 31069312
60 1 457 3650693 1849636 873953
847 921 169 12250325 768808 13556905
40 457 245 23173289 48498389 10110600
559 588 858 22392473 48570164 51253029
315 666 588 150386762 89751412 16750298
632 493 873 14886440 6456640 31220680
525 147 964 72092393 6805024 111596609
449 457 365 36559345 29436733 3370536
219 44 228 91276137 41086025 13651322
247 955 343 59473741 39737482 15897501
656 646 544 39968369 108014600 63634117
1 3 2 1 2 1
477 709 242 13229236 33427664 4628180
145 643 330 11421709 43875413 10917034
457 769 72 47367541 17905849 15411560
150 549 1 5486365 5745645 17689552
492 569 401 26863850 20332313 37116045
313 436 688 42039530 6088909 75982933
826 953 175 34296650 20193620 37168290
273 130 943 21230801 50392633 29816900
261 995 958 39972872 95185925 60804153
938 723 60 22997266 20523560 8460322
987 106 36 14469905 26795464 65145565
814 513 1 196978 17738953 14295437
1 588 510 14559266 46668629 12919285
1 681 551 15464872 72024004 21335332
107 457 701 11129890 6773026 33239168
457 282 187 9840429 68402452 30093025
903 457 860 32791657 29305781 43163650
629 3 304 7520890 9967469 2838041
191 721 939 119782426 64741986 66034000
200 964 494 10351250 18833620 38880010
340 382 2 822029 17073410 11064577
224 191 632 77403977 67842536 24603165
498 264 457 7126144 6033805 2259581
553 795 18 1696906 70713245 70122889
997 765 131 14159349 9250749 45512298
282 187 988 68402452 3717738 76324090
588 242 774 9608845 38743469 45489680
806 342 813 65635300 48308066 6535010
646 964 147 57135465 6805024 26750545
646 361 601 398564 59027765 62051085
124 215 66 52223141 22438681 104573800
1 588 519 14559266 62897184 24796850
330 643 651 43875413 810373 51365456
