20 20
1 1 20 20
W NES EW S W NEW NEW NS EWS NEW NEWS NWS NEWS NWS NEWS NWS N NEWS NEW EWS
EWS NEWS EWS NWS NES NEWS NEWS NEWS EWS W EW NS WS EWS NEWS E NEW NE NES NEW
NEWS NE EWS WS NWS NEW NE NEW EWS NEWS NEWS NWS EW NEW NEWS ES NWS NEWS S EW
NEWS EWS NE NEW S EW NEWS NES ES S EWS NEWS S NEWS NEWS EW EWS NS NWS EWS
NEWS EWS NEWS NS NW EW NEWS N N NEWS NWS WS EWS NEWS NEWS S NWS NS NEWS NEWS
EW EWS EW EW NEW NEW N NEWS NEWS NE NES EWS NEW NES EW EWS NES NEWS NEWS NEWS
EWS NEWS ES W N NWS NES NEW NWS WS W NW NEW NES NEWS NWS NEWS EW NEWS ES
NEWS EWS NES NEWS NEWS NEW EW S NEW NWS NE NWS NEW NWS NW NS NEW NEW NW EW
EW NS NS N NES NEWS EWS NW NS NE EW NEW EW NEW NEW NEWS NEWS NEWS ES EWS
EW NEWS EWS EW NEWS NEW NEW EWS NS NWS NEWS EW ES NEWS NW NEWS NEWS NEW EWS NE
EWS NEWS S NS EWS NEWS NES NWS NS EWS NES WS NEWS EWS NS NES NEW NEWS NEWS NEWS
NEWS EW WS EW EWS WS EWS W NWS NES N NE NWS NWS W NEWS EWS NEWS NEW EWS
NWS NEWS W NWS WS NES NEWS NEWS WS NEWS W EWS NE NEWS NEW NEWS NE WS NWS NES
NEWS NES NEWS W NWS NW NEW NS NEW NE NES NEWS E EWS NS NEW NES NEWS EWS NES
NE NEW NES NWS NE EWS NEW NEW x EW EWS ES EWS S NEWS NEWS NEWS EW NE EWS
NEWS NE NES EWS EW NEWS NEWS NW NEW NEWS NE NWS NEWS NES NEWS NEWS EW NEW NE EWS
EW NS NWS ES WS NES EW NWS NEW NEWS NEWS EWS WS W NW S WS WS EW NEWS
NEW E NEW NEWS N NE NEW NEWS NEWS NE EWS NEWS EWS NES NW ES EW NEWS NWS EW
NS W EW NE NES NWS NEWS WS EWS NEWS NEW NEWS NEW NES NWS N NWS NEWS NEW NEWS
NW NE EWS NW NEWS NES EWS W NES ES WS NEWS NS NEWS N NEW N ES NE NES
0 0
