20
3 112 155 113 155 112 156
3 40 144 41 144 40 145
3 153 6 154 6 153 7
3 186 30 187 30 186 31
3 108 56 109 56 108 57
3 192 134 193 134 192 135
3 112 114 113 114 112 115
3 99 179 100 179 99 180
3 118 124 119 124 118 125
3 60 122 61 122 60 123
3 198 99 199 99 198 100
3 67 23 68 23 67 24
3 190 108 191 108 190 109
3 158 56 159 56 158 57
3 79 97 80 97 79 98
3 29 24 30 24 29 25
3 1 178 2 178 1 179
3 28 46 29 46 28 47
3 185 199 186 199 185 200
3 136 157 137 157 136 158
10
-95 156 90 -190
97 137 -192 5
32 -177 172 -153
139 -197 61 -143
-63 -148 -83 -61
23 -173 -71 64
74 -29 -24 -185
-141 -50 196 85
-164 111 4 -82
26 61 170 -66
