16
4 303 134 303 146 323 146 323 134
4 -284 28 -284 59 -237 59 -237 28
4 -82 262 -82 273 -58 273 -58 262
4 -16 233 -16 245 3 245 3 233
4 -12 169 -12 195 50 195 50 169
4 -81 211 -81 222 -67 222 -67 211
4 26 48 26 84 83 84 83 48
4 -100 126 -100 143 -91 143 -91 126
4 138 256 138 295 223 295 223 256
4 -123 27 -123 75 -85 75 -85 27
4 -296 304 -296 321 -258 321 -258 304
4 -169 345 -169 354 -141 354 -141 345
4 -96 345 -96 372 -56 372 -56 345
4 334 177 334 183 349 183 349 177
4 -302 162 -302 204 -263 204 -263 162
4 190 172 190 180 204 180 204 172
5
-322 406 340 99
-152 414 -32 24
-197 22 76 405
-330 280 354 158
359 197 -320 77
