20
3 146 24 147 24 146 25
3 38 195 39 195 38 196
3 111 158 112 158 111 159
3 170 80 171 80 170 81
3 11 53 12 53 11 54
3 47 140 48 140 47 141
3 187 168 188 168 187 169
3 196 24 197 24 196 25
3 25 167 26 167 25 168
3 148 178 149 178 148 179
3 78 135 79 135 78 136
3 140 95 141 95 140 96
3 61 141 62 141 61 142
3 118 34 119 34 118 35
3 187 123 188 123 187 124
3 151 66 152 66 151 67
3 13 178 14 178 13 179
3 85 3 86 3 85 4
3 169 33 170 33 169 34
3 75 147 76 147 75 148
4
-100 -30 145 -115
58 -60 -84 -90
86 131 130 -52
56 -119 -81 -7
