20
3 21 105 22 105 21 106
3 44 181 45 181 44 182
3 73 126 74 126 73 127
3 24 144 25 144 24 145
3 19 170 20 170 19 171
3 3 56 4 56 3 57
3 63 14 64 14 63 15
3 165 83 166 83 165 84
3 108 187 109 187 108 188
3 115 80 116 80 115 81
3 59 112 60 112 59 113
3 53 24 54 24 53 25
3 71 35 72 35 71 36
3 156 46 157 46 156 47
3 124 116 125 116 124 117
3 150 131 151 131 150 132
3 66 159 67 159 66 160
3 51 110 52 110 51 111
3 108 81 109 81 108 82
3 77 35 78 35 77 36
7
101 -64 -70 -36
183 -28 92 127
-11 60 173 -24
-130 23 174 -148
47 4 -143 77
113 85 -21 -169
-128 -138 194 -106
