20
3 21 126 22 126 21 127
3 70 22 71 22 70 23
3 15 46 16 46 15 47
3 72 92 73 92 72 93
3 105 120 106 120 105 121
3 182 105 183 105 182 106
3 192 81 193 81 192 82
3 71 48 72 48 71 49
3 54 12 55 12 54 13
3 164 12 165 12 164 13
3 161 97 162 97 161 98
3 58 10 59 10 58 11
3 117 48 118 48 117 49
3 80 179 81 179 80 180
3 19 55 20 55 19 56
3 75 118 76 118 75 119
3 170 199 171 199 170 200
3 145 85 146 85 145 86
3 126 6 127 6 126 7
3 69 135 70 135 69 136
6
-63 91 119 -151
-200 -125 -39 157
93 -155 146 -89
77 31 -156 72
-114 -116 -85 -77
-86 -67 -135 -119
