20
3 22 36 23 36 22 37
3 40 66 41 66 40 67
3 32 105 33 105 32 106
3 75 97 76 97 75 98
3 185 191 186 191 185 192
3 134 142 135 142 134 143
3 81 143 82 143 81 144
3 81 41 82 41 81 42
3 35 8 36 8 35 9
3 106 171 107 171 106 172
3 73 176 74 176 73 177
3 141 139 142 139 141 140
3 74 10 75 10 74 11
3 104 138 105 138 104 139
3 49 97 50 97 49 98
3 182 175 183 175 182 176
3 94 60 95 60 94 61
3 91 117 92 117 91 118
3 97 10 98 10 97 11
3 105 35 106 35 105 36
5
119 31 -69 -133
187 165 -118 -167
-111 188 -62 73
123 100 -175 176
52 47 13 -168
