16
4 66 28 66 59 113 59 113 28
4 227 27 227 75 265 75 265 27
4 250 126 250 143 259 143 259 126
4 338 169 338 195 400 195 400 169
4 376 48 376 84 433 84 433 48
4 653 134 653 146 673 146 673 134
4 684 177 684 183 699 183 699 177
4 540 172 540 180 554 180 554 172
4 488 256 488 295 573 295 573 256
4 254 345 254 372 294 372 294 345
4 268 262 268 273 292 273 292 262
4 334 233 334 245 353 245 353 233
4 269 211 269 222 283 222 283 211
4 48 162 48 204 87 204 87 162
4 54 304 54 321 92 321 92 304
4 181 345 181 354 209 354 209 345
5
153 22 426 405
28 406 690 99
198 414 318 24
709 197 30 77
20 280 704 158
