16
4 -734 28 -734 59 -687 59 -687 28
4 -573 27 -573 75 -535 75 -535 27
4 -550 126 -550 143 -541 143 -541 126
4 -462 169 -462 195 -400 195 -400 169
4 -424 48 -424 84 -367 84 -367 48
4 -147 134 -147 146 -127 146 -127 134
4 -116 177 -116 183 -101 183 -101 177
4 -260 172 -260 180 -246 180 -246 172
4 -312 256 -312 295 -227 295 -227 256
4 -546 345 -546 372 -506 372 -506 345
4 -532 262 -532 273 -508 273 -508 262
4 -466 233 -466 245 -447 245 -447 233
4 -531 211 -531 222 -517 222 -517 211
4 -752 162 -752 204 -713 204 -713 162
4 -746 304 -746 321 -708 321 -708 304
4 -619 345 -619 354 -591 354 -591 345
5
-91 197 -770 77
-780 280 -96 158
-647 22 -374 405
-602 414 -482 24
-772 406 -110 99
