20
3 97 103 98 103 97 104
3 126 7 127 7 126 8
3 176 43 177 43 176 44
3 137 133 138 133 137 134
3 76 50 77 50 76 51
3 187 155 188 155 187 156
3 195 74 196 74 195 75
3 68 152 69 152 68 153
3 95 31 96 31 95 32
3 151 196 152 196 151 197
3 196 30 197 30 196 31
3 172 15 173 15 172 16
3 197 106 198 106 197 107
3 22 181 23 181 22 182
3 19 118 20 118 19 119
3 183 9 184 9 183 10
3 112 131 113 131 112 132
3 98 41 99 41 98 42
3 129 115 130 115 129 116
3 121 9 122 9 121 10
8
-82 -3 4 -54
198 83 171 164
193 118 -134 -186
-176 -45 194 35
-120 -159 160 167
131 39 -116 -197
102 -155 48 183
-47 153 -75 63
