499 499 39
29 313 13 D
440 370 13 L
472 438 13 U
202 428 13 U
211 452 13 U
35 119 13 D
204 397 13 D
318 108 13 L
82 418 13 U
136 307 13 D
407 496 13 L
466 330 13 L
120 267 13 D
229 241 13 D
119 258 13 L
12 155 13 R
475 461 13 U
351 485 13 R
497 213 13 R
70 497 13 L
475 209 13 D
382 130 13 L
154 289 13 D
473 84 13 D
113 499 13 D
30 94 13 D
459 372 13 L
25 42 13 L
459 454 13 L
437 394 13 U
417 338 13 R
17 277 13 U
115 262 13 U
489 131 13 R
466 25 13 R
213 180 13 R
188 398 13 R
228 109 13 U
232 243 13 R
