494 52 64
1 1 18 D
1 52 18 D
18 1 18 D
18 52 18 D
35 1 18 D
35 52 18 D
52 1 18 D
52 52 18 D
69 1 18 D
69 52 18 D
86 1 18 D
86 52 18 D
103 1 18 D
103 52 18 D
120 1 18 D
120 52 18 D
137 1 18 D
137 52 18 D
154 1 18 D
154 52 18 D
171 1 18 D
171 52 18 D
188 1 18 D
188 52 18 D
205 1 18 D
205 52 18 D
222 1 18 D
222 52 18 D
239 1 18 D
239 52 18 D
256 1 18 D
256 52 18 D
273 1 18 D
273 52 18 D
290 1 18 D
290 52 18 D
307 1 18 D
307 52 18 D
324 1 18 D
324 52 18 D
341 1 18 D
341 52 18 D
358 1 18 D
358 52 18 D
375 1 18 D
375 52 18 D
392 1 18 D
392 52 18 D
409 1 18 D
409 52 18 D
426 1 18 D
426 52 18 D
443 1 18 D
443 52 18 D
460 1 18 D
460 52 18 D
477 1 18 D
477 52 18 D
1 1 18 R
494 1 18 R
1 18 18 R
494 18 18 R
1 35 18 R
494 35 18 R
