500 500 250000
104 238 107 R
493 4 225 R
156 267 122 L
110 235 219 R
445 424 355 L
329 382 286 L
356 101 112 R
263 289 61 R
36 450 176 L
72 249 4 U
209 459 125 D
164 241 82 U
456 256 99 L
108 144 138 L
89 95 40 U
351 473 46 L
361 138 248 U
168 341 128 R
2 314 227 L
465 168 213 U
236 480 20 U
437 481 89 U
163 272 22 L
327 278 301 U
215 403 113 L
117 380 145 D
423 375 353 U
462 400 309 L
23 398 349 L
101 381 179 D
377 250 85 R
295 28 188 U
463 200 158 L
360 438 392 L
73 119 31 L
292 50 52 U
136 227 74 D
146 252 162 R
320 305 53 L
348 22 319 R
284 6 166 R
499 364 385 U
378 92 64 D
345 355 146 L
38 141 54 L
345 406 114 U
249 232 26 R
167 180 84 L
181 348 230 L
33 420 64 D
418 393 247 L
431 498 358 L
102 148 118 L
346 401 182 L
238 467 12 D
436 173 22 L
282 233 52 L
55 424 397 L
80 210 407 D
47 225 248 D
158 147 225 D
475 373 91 L
316 385 130 L
34 488 205 D
96 333 225 D
282 395 33 D
47 440 81 D
48 457 266 D
96 237 72 L
243 470 316 L
457 90 26 R
60 230 353 D
299 342 231 L
373 204 46 L
5 25 327 D
201 416 373 L
312 349 108 U
319 496 358 L
130 493 363 L
290 371 59 L
407 322 217 U
12 410 456 D
162 298 107 R
3 448 113 D
83 457 441 L
273 245 255 U
84 323 69 L
124 362 208 L
283 27 181 U
116 236 31 L
2 37 322 R
42 168 182 R
13 212 149 D
43 111 50 R
265 2 102 U
168 95 309 D
455 439 40 R
274 102 86 R
484 208 120 U
407 227 216 U
9 476 475 D
53 26 365 R
260 485 196 D
140 418 97 U
443 246 188 U
269 201 184 D
277 456 76 D
485 343 52 U
24 68 402 D
296 328 73 D
278 124 153 R
196 30 247 R
240 409 42 L
126 388 118 L
219 207 51 U
128 27 321 D
148 195 171 L
275 344 38 L
10 92 111 D
26 209 186 L
256 203 113 L
485 418 408 U
207 334 260 L
319 206 203 U
460 310 239 U
46 373 388 D
194 440 178 L
105 182 242 R
172 362 18 D
329 294 5 R
472 165 387 U
248 413 311 L
99 350 132 R
9 45 212 R
154 13 221 D
398 140 70 U
303 346 8 D
261 329 175 L
266 432 75 L
292 313 107 R
239 115 214 R
479 490 249 L
251 123 89 D
273 82 145 D
158 191 329 D
258 277 219 U
97 72 371 R
208 407 12 U
312 408 169 L
27 300 446 D
75 151 7 U
153 314 102 U
151 234 134 R
282 72 200 R
232 100 159 U
268 472 57 L
231 131 173 D
411 421 18 L
32 368 36 R
496 100 152 U
104 104 98 L
48 311 48 L
75 164 315 D
285 466 56 D
44 197 447 D
47 163 236 R
380 50 8 R
301 355 34 U
411 356 73 D
362 240 36 R
197 106 353 R
212 79 51 U
264 480 183 L
200 144 77 U
212 230 118 L
245 18 366 R
64 170 214 D
58 211 91 R
431 48 324 U
378 34 277 U
314 44 48 D
363 85 45 L
275 449 25 R
75 445 51 D
322 332 31 L
194 16 130 D
125 455 335 D
336 270 75 U
118 134 97 L
172 373 141 L
283 405 397 L
71 69 78 R
413 170 37 L
248 367 59 U
496 295 225 L
82 236 186 D
153 404 262 L
300 309 125 D
275 44 35 U
355 264 222 R
264 85 143 D
21 260 460 D
122 443 117 U
396 282 55 R
207 442 117 D
284 374 145 D
378 398 34 R
125 221 254 R
393 146 357 U
105 476 444 L
64 97 41 U
453 137 302 R
138 142 14 U
479 486 150 U
26 441 302 L
178 259 52 L
422 259 108 R
385 153 18 U
464 59 157 U
226 25 49 D
89 380 85 D
69 45 426 R
118 129 368 R
457 36 136 U
392 255 183 U
31 334 231 L
53 163 198 R
389 191 123 L
179 163 102 U
227 79 134 R
433 251 22 U
232 364 22 U
367 315 246 L
148 158 155 L
214 261 106 U
392 62 9 R
121 186 170 R
320 108 31 L
71 66 419 R
34 16 309 R
321 33 370 R
244 81 136 D
41 51 23 U
43 92 256 R
476 310 85 U
205 448 3 R
407 488 317 L
197 418 90 U
68 348 182 D
464 51 215 R
16 204 188 L
395 83 191 R
18 83 329 R
494 331 46 L
216 305 124 D
312 353 102 R
169 143 127 D
12 248 346 D
143 319 220 D
279 481 339 L
47 87 105 R
302 441 121 D
445 441 129 U
123 146 73 D
262 62 320 R
58 258 172 R
40 470 44 L
339 248 129 L
141 182 197 D
252 433 308 L
136 380 82 D
104 43 101 D
245 105 61 U
409 436 94 L
9 185 41 R
454 150 433 U
39 335 146 D
385 108 106 L
415 361 209 U
388 317 129 U
140 422 406 L
489 167 249 U
161 436 125 U
257 327 33 D
96 406 293 L
418 266 216 R
438 335 109 L
45 320 356 D
29 209 89 R
391 329 90 D
245 372 156 D
458 305 81 U
159 84 74 R
206 305 187 L
68 358 268 D
134 26 61 R
270 222 183 L
470 68 6 R
416 247 390 U
55 333 46 L
129 214 237 D
13 136 101 L
437 226 183 L
132 336 88 L
14 217 373 D
130 30 348 R
148 235 165 R
67 203 184 R
373 168 139 U
48 474 87 L
255 480 60 D
162 361 120 R
66 182 87 R
128 103 94 U
353 245 72 D
478 326 208 U
192 461 17 U
393 143 133 R
24 68 351 D
130 271 90 U
315 35 343 R
16 337 254 L
300 231 25 D
385 157 154 L
298 56 138 U
34 205 143 L
27 84 69 D
436 470 300 L
293 363 157 L
447 107 145 R
228 325 142 D
313 269 115 R
233 230 131 L
500 208 33 R
493 73 370 U
310 312 57 D
159 140 164 D
337 196 168 R
212 422 210 D
447 194 286 R
286 205 211 U
339 447 310 L
104 407 129 D
260 155 112 D
64 418 142 L
213 367 36 L
442 361 33 D
152 165 114 L
481 280 92 R
17 28 472 R
225 273 56 R
82 222 255 R
97 138 182 D
453 40 263 U
235 303 245 D
122 228 139 D
105 380 65 U
27 411 18 L
