277 301 105
1 1 9 D
9 1 11 D
19 1 3 R
19 3 4 R
19 6 9 R
19 14 11 D
29 14 8 D
36 14 2 R
36 15 5 D
40 15 9 D
48 15 6 D
53 15 5 R
53 19 3 D
55 19 10 R
55 28 4 D
58 28 3 D
60 28 11 R
60 38 8 R
60 45 5 D
64 45 6 R
64 50 9 R
64 58 6 D
69 58 4 D
72 58 3 R
72 60 6 R
72 65 9 D
80 65 3 D
82 65 8 R
82 72 7 D
88 72 5 D
92 72 10 D
101 72 5 R
101 76 6 D
106 76 2 D
107 76 11 D
117 76 5 R
117 80 3 R
117 82 4 D
120 82 10 D
129 82 9 D
137 82 10 R
137 91 11 D
147 91 4 D
150 91 9 R
150 99 7 D
156 99 11 D
166 99 7 D
172 99 4 R
172 102 8 D
179 102 2 R
179 103 8 D
186 103 5 D
190 103 6 R
190 108 10 D
199 108 9 R
199 116 7 D
205 116 7 R
205 122 10 R
205 131 11 R
205 141 9 D
213 141 3 D
215 141 3 R
215 143 3 D
217 143 4 D
220 143 8 D
227 143 9 R
227 151 5 D
231 151 2 R
231 152 7 D
237 152 9 R
237 160 5 R
237 164 8 R
237 171 2 D
238 171 11 D
248 171 8 R
248 178 8 R
248 185 4 R
248 188 10 R
248 197 8 D
255 197 10 D
264 197 3 D
266 197 2 R
266 198 2 D
267 198 4 R
267 201 7 R
267 207 11 D
277 207 4 R
277 210 4 R
277 213 5 R
277 217 11 R
277 227 11 R
277 237 5 R
277 241 2 R
277 242 2 R
277 243 6 R
277 248 11 R
277 258 11 R
277 268 5 R
277 272 11 R
277 282 3 R
277 284 11 R
277 294 3 R
277 296 3 R
277 298 2 R
277 299 2 R
