499 499 179
330 469 9 U
63 381 13 U
485 290 8 U
35 362 5 U
228 252 7 L
201 145 6 D
234 106 4 R
42 410 12 R
283 221 3 U
388 406 4 R
223 23 10 R
201 166 12 L
399 400 9 U
124 20 2 U
349 132 4 R
359 74 5 L
38 239 13 R
498 129 8 L
395 144 13 L
174 251 13 L
498 97 3 U
282 326 3 D
430 172 11 L
408 189 5 D
270 464 12 U
97 45 7 R
179 113 2 D
461 408 6 L
154 441 8 D
52 316 14 D
347 304 11 D
246 483 6 U
404 360 3 R
475 188 3 R
26 202 3 L
18 140 13 L
372 411 7 L
100 397 11 U
48 274 4 R
363 351 10 D
24 381 6 U
413 414 9 L
372 58 4 L
205 122 2 R
220 401 5 R
443 7 6 U
98 391 2 D
64 389 8 U
411 494 9 U
101 167 3 L
465 334 3 R
367 62 8 D
380 13 4 L
31 401 5 L
254 181 11 L
482 155 6 R
223 144 12 U
185 126 5 U
409 35 7 L
46 369 2 U
335 434 4 R
28 218 9 U
490 96 7 L
410 44 4 D
256 468 7 R
420 188 6 L
228 407 12 D
65 314 3 R
392 329 6 L
366 58 6 L
235 295 6 R
39 174 10 U
244 102 14 R
53 373 11 R
361 446 11 R
359 484 3 R
134 266 5 L
167 308 3 D
154 230 7 R
178 156 13 U
344 49 14 R
64 168 12 D
28 291 6 R
330 67 13 R
52 353 4 U
205 380 4 R
493 395 2 U
499 169 2 L
348 188 14 L
436 194 3 L
467 383 9 D
72 60 3 D
284 324 13 L
224 207 6 U
261 103 7 D
243 397 12 U
60 98 11 D
400 293 13 L
193 364 3 U
305 228 12 D
145 84 4 U
70 154 13 U
179 283 10 D
219 499 13 D
88 172 4 R
407 302 5 D
179 240 12 L
164 411 12 L
49 252 7 R
398 376 14 U
487 460 13 U
148 156 2 D
145 337 9 U
333 24 11 L
481 134 5 D
272 219 7 D
363 131 5 R
258 265 9 L
225 104 6 U
242 479 9 U
295 311 4 R
300 282 2 D
364 332 14 D
341 260 4 D
381 176 2 R
121 366 7 D
53 264 4 L
317 27 8 R
116 195 10 U
412 46 7 U
421 343 4 D
121 214 12 L
473 407 9 D
361 314 2 U
54 53 9 L
258 378 2 L
371 155 11 U
397 166 2 R
125 462 6 L
472 54 9 L
115 126 6 D
414 93 12 R
426 141 7 L
100 84 2 D
342 141 11 R
412 323 2 D
358 484 5 R
465 253 11 R
169 102 13 U
411 379 4 R
274 245 14 L
360 384 5 L
336 115 5 U
397 351 8 R
145 343 6 U
54 63 13 L
209 160 5 L
226 469 11 L
229 250 11 R
202 328 11 L
487 235 6 R
398 307 5 L
139 92 11 R
470 245 8 L
436 127 5 D
419 478 2 D
249 257 7 U
443 432 5 R
171 334 8 D
382 28 5 R
22 414 13 L
66 243 3 R
399 445 9 U
270 158 12 R
221 343 4 U
245 301 5 D
23 158 2 D
265 104 14 U
245 238 5 L
