3921 39102 28
3668 2933 7768532 O
3530 3353 6208029 O
2527 1399 965327 I
2069 2684 7887707 O
2560 3743 5205363 I
3893 1776 7302745 I
1168 42 56199 O
2011 1487 7154118 I
688 676 1331706 O
1842 3621 9415386 O
3702 3207 4294650 I
2305 1223 2927975 O
2061 1640 5541936 O
1157 88 2832720 I
2009 390 8837767 I
2481 399 871468 O
2524 930 4961154 O
2139 2481 6568908 O
1286 2754 118945 O
636 1939 3837481 O
2213 3053 1047558 I
1129 1342 6765272 O
888 2677 7718249 O
1383 3865 6948454 O
2734 1414 3923142 I
1145 3563 1922535 I
2904 2943 5529021 O
63 1136 2215530 O
320 1902 9020833 I
3630 649 4813845 O
1262 1351 7991999 O
3874 2905 2339432 O
3855 2499 2275074 O
784 2824 6407760 O
3415 1235 397485 O
883 644 3649669 O
2253 1416 6556147 I
714 1641 5457494 I
3212 1246 384503 O
1872 1007 6465839 O
610 2294 2032298 O
3493 3225 2495979 O
1480 3025 3180406 O
1520 2932 6579339 O
2228 2442 4782741 I
2013 3054 8615189 O
1816 3884 4432029 I
1302 463 5046637 O
3446 3413 9557176 I
3391 1705 3762500 O
1563 3438 6250896 I
1587 73 5853093 O
1359 3101 7461960 O
2716 722 992025 I
3231 2162 2078839 O
2202 3680 5426909 O
1589 2397 8409125 O
3867 2995 5675535 I
1259 1708 4705158 I
1536 2103 4389745 I
3 1455 2584994 I
400 3244 4355624 I
3011 2460 6452039 I
1599 731 1914383 O
724 2659 4582585 I
2740 2714 3669682 I
2344 2429 4965531 O
3144 1343 4433684 I
1661 1764 3428212 I
3556 3163 8034128 O
2049 3225 9754594 I
986 3495 2614111 O
350 3163 523716 I
837 2404 2245591 I
3306 2573 1624047 O
2978 2640 9695764 O
355 3222 5258082 O
696 1024 6927228 I
1212 2824 8918818 I
2517 3152 8920176 I
1387 705 9084727 I
1749 2437 1486649 O
1682 669 9049864 O
2306 3097 4306705 O
3097 2976 1294874 O
496 2790 8705649 O
381 2082 2828324 O
2878 2696 6306749 O
1593 533 3806635 O
3627 3499 4601862 I
2481 2275 3952577 O
2066 749 205790 O
1609 3303 9359102 I
2398 3247 8841433 I
1631 2879 9883283 O
1249 1260 5325884 O
1865 1202 6623091 I
3459 551 369170 O
1198 3717 126574 O
2592 3543 6441467 O
1518 2539 7909263 I
2633 2578 5091748 I
3905 1353 7067869 O
2100 3490 9070321 I
2950 447 6793229 O
2698 124 6538710 I
1128 489 1502166 I
2008 2528 4324398 O
3870 1017 2563526 O
444 317 2197530 I
1287 688 9294768 I
3705 3248 8127662 O
367 2905 2421257 O
446 738 8202770 I
2666 2446 26854 I
3531 2401 7075273 O
1072 1674 2211524 O
1599 1713 5969384 I
1678 2825 5417521 O
941 1132 7032689 I
2329 2640 555970 I
915 2319 7258221 I
60 1922 4436218 I
3610 3264 225653 I
336 3821 7994107 I
3258 1400 7720842 I
2324 226 6903961 O
2331 3324 8409858 I
1444 960 4976392 I
1517 2597 1471185 O
1370 3535 3589874 I
1728 3601 1546716 I
2048 591 9290384 I
2740 1231 7956361 I
1357 2312 3177502 I
3553 1203 865432 I
1011 2883 2557357 O
3162 2576 7482071 O
977 313 8379279 O
3803 2606 1797299 I
644 2914 5354357 I
2407 502 539204 I
1398 278 2202344 I
2566 864 2185753 I
2858 2768 2155549 O
2097 2139 830013 O
1666 1423 783435 I
288 2963 7383873 I
3068 2345 3693773 O
1075 2497 3531228 O
353 960 2570861 I
648 3271 6285162 I
3653 3723 2340538 I
953 1734 7268585 O
32 467 3747957 I
1517 3131 3906090 I
3154 2648 6615136 I
151 1423 2962855 I
1413 1766 8583411 O
1000 2632 7976617 I
2799 3326 6480616 I
2500 2875 8783147 I
2919 1298 5894260 O
1546 3085 4197085 O
1041 1981 4709732 O
2297 3350 8440614 I
2785 3603 4114959 I
15 223 3875995 O
3203 3537 9190195 I
3758 2188 3283491 O
3355 2840 7052106 I
471 2330 9567124 O
117 1633 8307022 O
3132 1015 6519207 I
2405 3916 4507259 I
653 1224 8811328 O
3860 2513 5098869 O
1427 2895 4031274 I
2877 552 3456620 O
224 599 641403 I
1781 1729 3485016 I
3071 3079 5977406 I
1056 201 4930082 O
2871 1478 3266318 O
2005 857 9048314 O
510 2913 5325561 O
2515 544 6484020 O
3864 2513 1467462 O
1429 2882 948607 I
280 2796 3441310 I
2021 2240 1469791 O
392 1315 6196255 I
2992 1532 6226800 I
1970 2619 7790633 O
1719 434 3502117 O
1189 1556 5600785 I
3769 576 2047719 O
2769 1986 3162933 O
