3987 39900 30
2820 2876 4499865 I
554 1742 7745173 O
2303 2741 5893687 O
2449 226 1559826 O
314 1020 5734575 O
2630 923 5120275 O
2881 3076 1056252 I
3601 1412 6384350 I
273 3870 6227869 O
1865 1797 7171502 O
518 1098 8821364 I
717 2244 1673353 O
3534 1798 2096335 O
1798 1886 6058128 O
1533 817 8575757 I
3585 236 2092384 O
3512 636 2952571 I
3041 3870 8902969 I
470 1495 9791637 I
1347 853 3215646 I
2863 2388 6280501 O
2690 2236 5264215 I
1619 1423 1509605 O
513 415 7978985 O
1051 1280 4408216 I
2227 3682 1896452 I
897 2315 7095833 O
3674 2410 3911987 O
3024 3388 9398865 O
2157 1016 114042 O
112 1478 5884384 O
3096 3737 7593904 I
947 998 4372725 I
2496 853 9470014 I
2197 601 955914 I
2847 771 4676879 O
1025 2815 2530890 I
1422 3664 3308390 O
3022 1078 5152021 I
3474 337 6095233 O
2203 3427 5664616 I
1253 1469 4762869 O
3228 1096 8749176 O
955 3493 7618505 O
3639 245 5452201 O
3832 1617 1213862 I
2233 3749 8115184 O
749 890 87578 O
2556 3265 4578381 O
2245 3334 5055655 O
2912 1078 5536784 O
919 2598 6423244 I
3821 2512 511993 O
1803 3184 378175 O
1531 2095 6102678 I
1002 3887 2313656 I
3256 2152 8430585 O
715 3038 9515261 I
430 2385 8817573 O
572 3383 5285785 I
1468 3427 6916522 O
509 1060 4321290 I
1339 3393 6921403 I
1610 2703 5723192 I
1355 2222 1820683 O
1749 1418 7021850 O
110 73 980162 O
1966 3636 5429042 I
275 1256 626863 I
2787 3093 4540252 O
142 1717 3000353 O
2674 2583 3554973 I
2496 3537 3938106 O
2542 1802 7337574 I
1996 2433 4239653 O
3690 3653 4534656 O
938 3241 5126710 O
2338 2688 277210 I
744 3015 8773809 I
1239 3134 1385568 O
1941 1951 6126781 O
3858 3545 2942456 I
2678 1257 8968998 O
3524 3295 2693272 I
1325 3690 9119662 O
2557 199 726062 O
2207 1857 1244218 I
471 3300 7999415 O
2444 1745 3316282 O
3524 3830 7663209 O
3156 3860 7180330 O
3335 2757 8748831 I
1063 2479 5229060 I
3809 769 3684528 I
2890 896 4552329 O
2190 378 8159315 O
1529 1959 677301 I
1458 1267 6101744 I
1323 589 9400961 I
3824 1879 5745466 I
2132 567 5494810 I
3813 3606 6578581 I
1112 305 7727022 O
2556 3457 1549201 O
1777 225 6726559 O
1957 2423 4823492 I
2893 2143 6566804 O
2142 357 6635893 O
3711 3017 455568 O
2992 1238 3866032 I
1303 1922 6641184 O
3931 2754 6332671 O
376 1724 4040080 O
3679 1150 9378555 O
378 3689 2926437 I
1396 2043 4125528 O
1569 48 127314 I
2824 212 1911881 I
1117 2140 1332517 O
1526 3559 1201557 O
2761 620 6548449 O
112 3071 7983242 I
2488 666 3962588 I
440 1539 8460338 I
452 72 8302228 O
2441 2455 176553 I
149 3114 312035 I
1621 2319 4689381 O
47 2501 4307880 I
3453 1112 1100732 I
219 3686 291121 I
6 2632 9085348 O
2022 3154 3975881 I
3102 1205 7425593 O
2030 3391 171209 O
3714 3489 2842285 I
253 530 9952685 O
2667 1365 2781514 O
965 295 8961490 O
3896 258 1862847 I
