3905 39309 29
1602 150 1034895 O
376 3032 8931181 I
787 2847 4999309 O
2503 772 6494032 I
2685 2343 5169467 O
3640 2366 2444469 I
3202 224 8280370 I
2230 1324 2461958 I
2885 2530 4113899 I
3233 3073 1565642 I
2654 1093 3643018 I
3361 3817 7043220 I
2033 3039 1879608 O
3553 2379 988920 I
3742 999 6484918 I
704 2027 9985240 I
2731 797 101251 O
3402 1062 8356599 I
2951 1128 6359703 I
581 3023 4121772 I
2739 432 8466980 O
2281 1028 5926452 O
310 369 6829814 O
2515 2603 1865682 I
3305 1706 5291300 O
737 2014 2044010 I
3067 649 5422669 I
81 782 9941943 I
1471 3187 6922811 O
1897 1494 5345832 O
1084 1351 6413471 O
1115 934 4881302 I
3842 1944 7641735 O
2322 1349 8841692 I
2018 832 5962539 O
640 2505 6016835 I
656 1462 4666472 I
2144 1324 2927565 I
193 2258 6005909 I
2260 324 7411218 I
344 202 6712529 I
3687 3423 5569936 O
2276 2962 102558 I
3450 2947 6682094 I
705 553 4133399 O
3705 2653 5435464 I
3604 3176 6478102 I
1000 2907 5696278 I
1211 1405 7795368 I
1570 534 7034083 I
2044 91 7726602 I
1932 100 2722918 O
1441 1320 1239140 O
3093 2704 9907854 O
292 1395 6019524 O
3498 809 6943326 I
1601 2157 9207226 I
2814 3296 2622662 O
3035 1358 2323399 O
2653 1282 6265259 I
1759 313 3613335 I
1544 790 1773535 O
926 3520 1885606 I
1635 1939 697056 I
2022 2541 3708159 O
1832 1721 8317139 O
3083 1042 8430342 O
2753 1974 3255771 O
361 2055 5060713 O
668 257 283356 O
3885 1482 5582495 O
2540 338 9638335 O
1282 2673 3149519 O
110 3189 2689303 O
1958 3237 9186631 I
3364 3385 7272220 I
3350 2081 9858287 O
3631 555 4999071 O
358 2659 2647980 I
3743 987 3616966 O
1614 2534 7246380 I
2069 3590 8442794 O
649 1511 2969438 O
1490 2432 3372928 I
1818 1152 829269 O
3251 1344 9465270 O
159 616 3220631 I
1767 2207 8011543 I
2155 1523 7964413 I
2214 3776 525106 O
3759 998 2722257 O
1287 3865 8376095 I
712 1939 2220054 O
3462 628 3355772 O
3696 3053 7271369 I
543 3709 2939706 I
3793 1593 680091 O
3466 1984 9518660 I
2522 3284 1650882 O
1537 734 8462781 O
3543 3216 3771078 O
1168 3299 4518457 I
3314 869 623239 O
3621 1039 1762341 O
2668 2495 8372492 O
2375 1137 1867415 O
2738 209 4326950 O
1039 745 8375429 I
2480 3032 2306120 I
968 3537 9362014 O
2035 2715 5633633 O
3618 2745 5405059 O
115 3500 138136 O
1621 3019 283163 O
461 3536 6609419 O
1850 474 5556025 I
2387 1026 6766986 I
854 3317 5591435 I
3426 2538 2730967 I
186 249 6039888 O
3692 829 154594 I
2885 1713 3437649 I
1484 2650 3423898 I
2616 3838 515317 O
1456 3690 5866023 O
3134 1689 967669 O
488 3185 6415012 I
2700 2439 8968272 O
536 3271 3549956 I
2612 2301 5900643 I
3037 1885 7876485 I
3575 1913 2473023 I
3150 965 4283416 I
1858 2920 4217205 O
1397 2262 4827050 O
295 3751 9029951 O
1570 58 7687939 I
852 1908 7363845 I
2700 2022 675756 O
195 3059 8646249 O
1019 3873 1349793 I
829 934 7065225 I
2195 67 6233979 O
562 375 5080615 O
1542 472 2875426 O
781 3156 2044468 I
1571 695 1088064 O
2635 3380 6159798 O
3795 1232 3306738 O
1138 2139 8484947 O
3021 2802 8949710 I
2425 2595 6478871 O
491 2434 935943 I
798 3301 9957493 I
1795 111 7935921 I
2843 2117 5353205 O
2740 1510 8052611 I
3499 971 2388315 O
3336 1651 8303050 I
546 1222 7840789 I
2398 3058 3271826 O
3023 3257 8367590 O
1591 2596 9745646 O
13 3287 477710 O
1431 590 1015979 I
2374 3415 181969 I
1952 3591 9559443 I
3343 3038 3022116 I
3815 159 1759202 O
2149 615 4910925 I
2541 3866 5070654 I
1506 3004 9405929 O
2100 1473 3448089 I
788 953 1731426 I
808 328 339490 I
1183 151 2600022 O
1672 1088 1581959 O
3724 3010 1294233 I
1855 1611 6732059 O
2401 2758 8281169 O
3641 1880 1909216 I
3581 2279 8673990 O
3291 2305 8858805 O
1029 245 2966527 I
3424 2179 2064190 I
2455 274 782733 O
3886 1141 1334313 O
2502 73 7563471 I
2885 3199 2558084 O
1392 1599 1106717 I
2463 3184 1929705 O
565 175 1371769 O
3650 738 6726268 I
1802 554 1364709 I
1166 3847 2764447 I
1651 894 564995 I
3792 1651 6767700 O
1291 2568 1722533 O
1272 623 1168283 I
782 426 327458 O
915 2538 1471921 O
3038 312 5420312 O
1867 1947 8383494 I
1417 896 865570 I
3224 2917 9027693 O
3043 1120 8221997 I
42 1536 3797634 O
2928 33 7628827 O
3703 850 6965809 O
139 394 4735687 I
1885 167 9201525 I
64 236 9767282 I
420 427 8557098 I
1852 1322 8206332 I
2449 2300 1921533 I
1306 2097 3419006 I
2883 272 6691801 O
3838 2179 9769821 O
3348 2224 294566 O
3657 2843 7596093 I
136 3483 8303048 O
3624 1329 9895834 I
810 3558 1294886 I
2587 3005 5454737 I
2103 2809 9069217 I
251 1815 1683882 O
1684 2091 2688562 I
1155 822 7559072 I
1095 1859 5133337 O
2090 3591 5197000 O
3128 1433 8432068 I
917 563 3665996 O
1191 2658 5382306 O
1152 496 6040448 O
198 2733 2968647 O
65 3289 8349254 O
217 3670 7414899 I
364 375 3760689 O
1057 971 9927419 I
872 1603 5632329 I
1362 2612 1767692 O
6 2389 6947457 O
1220 1691 9322334 O
3301 2147 4471769 O
3158 1748 8819294 I
1504 2872 1839320 O
1087 1930 2497667 I
2398 2455 6319967 O
712 2560 4365951 O
3886 3886 222953 O
1488 406 5374281 I
566 2466 7767910 I
2792 2384 9381558 I
2017 2203 2002567 O
3172 3705 203361 O
546 3888 3569976 O
3361 2617 6213388 O
1069 131 7004551 O
200 901 454974 I
995 3152 4011367 I
3372 3886 7951753 O
2865 3626 5268043 O
98 1471 7491633 O
1398 2314 8112272 O
2132 799 7165419 I
1925 1392 3995653 O
2543 3243 2627856 O
1565 3826 3351500 O
3040 2198 6800462 O
3721 2537 9189901 I
1267 650 6835139 O
695 1160 4098712 I
2379 1588 659546 I
1494 1323 1573567 O
3172 463 600654 I
2486 2005 5895043 I
1022 855 5166687 I
78 343 3196744 O
88 477 9742040 I
3414 1591 9261476 I
1290 2610 5960243 I
1505 2898 6017808 O
1776 765 8527714 I
1127 61 5969183 I
603 632 9926569 O
1044 527 4854323 I
934 1723 7329013 I
15 371 623640 O
1342 1472 9693729 O
2112 3392 7149985 O
1850 2469 4597117 I
1518 2989 9006504 O
2444 2808 2687926 I
2299 2747 1059778 O
1256 2094 9298437 I
