-184135573 200051802 251145259 -924898433
79
-760101976 -916525275 -479673893 -295902991
-288642906 -724968912 444435428 -157232568
493243247 105728346 821447272 219654866
-211769604 -613616512 -39365190 -597226562
294349564 -674789624 581508508 194880747
-551969927 -700822174 360137445 -315462437
297969529 496760859 553165108 602670571
-672064227 154386910 -11651639 632854353
-562206368 75506810 437288028 394280819
-875676248 -659842945 -72272058 -427761268
126292694 -896467425 844177473 -805762371
-308195063 795537768 132496651 907371984
-355376151 -305682785 367766054 84831
-753414311 231075003 -353509078 953354593
206483247 -216643690 365700765 246764345
-216629439 -883173424 593455039 -138774297
-405697365 -309225051 553393829 -184064018
-931437066 -121764067 -814760649 630255127
-992835066 -524606880 -504240523 -190895252
105337790 -645806830 990131173 -60211318
-170330025 -182876495 616990813 -6102527
591322068 -864033795 980410206 -243202676
419210085 156297754 911197058 372765108
367590102 650699362 536350248 770921459
187956288 -154599924 957370500 33372729
-415327922 -220226114 -174203213 702006937
-119649106 -932362772 662326613 -515520300
-350776007 358111375 410496994 755276503
752641999 348325228 752799597 395917752
-791102267 -352509513 81152147 -105433071
-897862679 400300110 -244511115 588994339
-777340145 518140449 -190654749 852483409
-740695870 502420601 -477077575 917122019
-315717708 -71723652 -303500136 79743583
-509273527 -831875035 270625275 112645213
-946021738 625557448 -70593564 710810936
-122103467 -479646600 806133729 476176571
-81851716 -754772394 219775449 -352765833
-518778629 237903537 296893321 408062204
-417406617 -408845589 448500638 37494379
-205005367 -965421175 540706882 -813116266
-474954800 250873442 -249789579 279659715
141092336 -875159451 789303567 -854911211
399266481 -250315410 470140405 349208793
552465638 -885172375 889339638 -262226596
-498006599 69311346 313279917 936058702
-533842572 -951807994 -494857159 -226880604
45549535 -708376315 566941152 243523101
572238117 -839388179 791619254 -414513883
563361276 -924155548 593761399 -10929923
148801521 -545060270 864426816 324853340
425950918 19036542 435357692 591145895
224017475 -424374962 557093392 -155750608
205938237 -490446836 517407284 129067892
153192599 -134579120 413463754 727303462
-613258841 450756165 -525379027 535252614
-458089039 238833834 -281206701 289218547
-880969063 305758804 -326472693 571700771
-451317454 -835670425 236789883 79030936
437453347 -955990014 790576370 -856520492
-455092843 342670166 -304142378 482674990
384501828 -928177803 702578378 -820996489
-380925346 -360782656 227450167 -73640158
-448937288 -102471639 459898018 215342614
-821121809 -651484059 -60572252 -84767621
-750706143 -17827085 -363611479 905847651
-121677611 -849066090 806636548 -366507718
-28475596 -690844179 278720996 -512131287
-981794509 -150439355 -581873949 633497963
-486689265 -786136795 169163799 -311812216
-937378367 -187325159 -697010137 -93699306
98393395 664435696 543979559 861542043
149028529 -878878100 333714901 -278087982
-363415678 324120418 521948884 790108069
-769298332 185147679 -535868146 858149966
32874659 -327808447 306365154 95225014
-677728584 -926960992 -411337348 -446230433
-285905671 -937952719 549373087 -737985104
-375019832 -167996386 569611227 23672926
