99996 27 99996
64534 1 1
92544 1 0
87704 1 7
28013 0 1
56787 0 3
56766 1 4
86459 0 0
88522 1 4
98564 1 9
2533 0 2
76642 1 9
25518 1 0
77283 0 9
67757 0 5
73068 1 3
77941 0 1
7549 0 3
41687 0 8
48483 0 1
4875 0 2
51969 0 3
31946 1 1
98972 1 7
94911 0 6
34837 0 5
18116 1 7
94645 0 9
92390 1 8
56 1 2
8533 0 0
9106 1 1
88456 1 5
34959 0 6
50286 1 8
63894 1 9
226 1 2
70308 1 9
11275 0 6
2816 1 9
36364 1 2
21625 0 6
28295 0 0
47941 0 7
77629 0 5
81985 0 9
53068 1 2
49755 0 7
85698 1 0
67712 1 7
88441 0 8
7023 0 5
5210 1 3
6787 0 6
70409 0 9
30369 0 6
30068 1 8
58476 1 5
7755 0 7
31226 1 4
25439 0 0
63036 1 1
93539 0 4
43410 1 7
75686 1 0
95887 0 8
32440 1 4
67559 0 2
44220 1 3
35695 0 4
52884 1 3
62482 1 5
69553 0 6
74590 1 9
92008 1 9
1150 1 4
15730 1 4
72134 1 7
79841 0 6
10319 0 0
1430 1 2
50620 1 6
53412 1 3
27228 1 4
22901 0 4
55611 0 2
19930 1 1
91660 1 1
21508 1 6
57827 0 4
7229 0 1
86577 0 3
36356 1 1
95860 1 0
21951 0 5
25175 0 0
28554 1 8
29893 0 3
24908 1 1
1038 1 7
15630 1 0
23344 1 3
50669 0 8
80789 0 3
48227 0 6
8511 0 0
37006 1 8
42877 0 9
68164 1 3
56116 1 1
62428 1 3
83976 1 8
5216 1 0
36561 0 9
8705 0 1
98906 1 2
52581 0 3
9241 0 8
608 1 0
97212 1 6
73966 1 6
93019 0 9
20805 0 5
55858 1 4
16279 0 2
43379 0 7
32887 0 8
37145 0 0
26423 0 6
2019 0 2
15835 0 7
50501 0 1
70550 1 8
29810 1 4
97588 1 2
58593 0 3
88458 1 7
77733 0 6
85115 0 4
94080 1 3
21098 1 4
24066 1 6
75212 1 7
66363 0 9
73149 0 6
94334 1 4
59414 1 2
14331 0 0
70636 1 9
40614 1 8
36524 1 9
34606 1 9
67997 0 2
5407 0 6
10744 1 6
8312 1 4
80796 1 4
91782 1 1
498 1 9
55958 1 6
31521 0 5
87980 1 3
31052 1 1
10291 0 8
71986 1 1
13627 0 9
86748 1 0
13385 0 1
77926 1 1
69087 0 6
85504 1 2
55602 1 9
18970 1 4
34639 0 8
91358 1 4
86161 0 3
60761 0 7
58486 1 5
52619 0 7
43469 0 7
49880 1 7
36724 1 0
97904 1 8
39845 0 1
41156 1 0
60835 0 4
97464 1 5
37000 1 8
52179 0 8
59897 0 8
67128 1 9
10876 1 3
79230 1 2
38402 1 8
70375 0 8
34296 1 8
17221 0 3
25734 1 7
23524 1 2
99258 1 3
80416 1 1
94098 1 2
62933 0 7
70056 1 5
7074 1 6
87705 0 2
22197 0 6
12783 0 9
16673 0 6
46136 1 2
70818 1 0
76698 1 6
88362 1 7
55936 1 1
60198 1 5
7090 1 0
40448 1 2
88316 1 7
53579 0 5
62209 0 2
49977 0 2
87621 0 6
