4 908
0 1 100000
5 1 100000
0 2 100000
5 2 100000
0 3 100000
5 3 100000
0 4 100000
5 4 100000
3 4 9383
1 5 6915
3 0 5386
1 2 1421
5 1 8690
0 0 3926
5 4 9172
3 3 5368
2 2 5782
1 1 5123
0 0 3929
3 5 3058
1 4 1393
3 3 8042
2 5 4421
2 2 8537
5 0 8315
2 1 3526
2 3 9956
1 4 9170
2 3 2305
5 2 6327
1 3 846
3 0 5857
2 3 9582
2 2 3367
1 2 4043
2 0 6808
3 0 5788
1 2 2651
2 0 9932
4 1 3368
0 0 6226
4 3 7539
5 4 1434
2 5 6601
4 0 3317
2 1 756
3 1 4286
5 4 9689
3 3 8440
5 3 8117
3 5 4481
4 3 8927
0 3 9497
5 4 6965
4 2 6219
5 2 2871
0 5 9503
5 4 3368
0 3 6340
1 2 723
1 3 2846
4 5 3555
1 2 7764
4 1 2350
0 4 7034
2 5 4914
5 3 3743
4 3 8365
5 5 1432
5 5 9228
2 1 1474
1 5 4395
2 1 8235
3 3 4428
2 3 5928
1 1 2404
2 2 4613
4 4 6840
3 0 5128
0 5 7917
0 3 3324
5 2 2183
4 5 9772
5 5 5590
3 4 2954
2 0 8082
3 3 197
5 2 8804
5 0 3622
2 4 7343
5 4 4340
1 3 3810
4 0 5661
2 0 1305
0 0 9444
4 2 3465
2 2 8282
2 0 7637
2 0 2600
4 3 1899
3 5 7468
4 3 7131
4 2 8933
5 1 163
3 4 8899
0 1 3773
2 1 7190
0 2 6466
0 2 2090
1 0 5542
1 0 7445
2 5 8418
3 4 3348
2 2 2009
0 5 6342
0 1 9301
5 1 5321
2 3 4599
2 1 5939
0 5 5667
0 2 1127
4 0 6658
2 5 2422
2 0 4081
2 0 9292
3 1 3850
4 1 1222
5 2 6042
0 2 2298
3 5 2590
0 4 8819
4 2 1155
3 5 379
1 0 1776
5 4 1860
1 1 5884
2 1 7621
2 1 613
4 3 1326
2 4 8202
0 1 6784
1 0 868
0 0 8872
0 0 498
3 2 7753
2 1 3333
1 0 2890
3 2 1746
0 0 4500
4 5 9797
3 1 3303
4 5 2497
2 3 7686
2 1 3996
4 3 9157
3 2 2460
2 2 460
2 2 8027
2 2 7556
1 1 7697
0 2 1039
5 2 6403
1 0 7647
2 5 5151
3 2 4339
5 0 6127
5 0 49
1 5 6429
4 4 3177
3 5 7971
0 4 5367
0 5 5795
0 4 2829
3 3 5340
5 2 3826
3 0 6042
3 5 8023
3 0 6309
5 3 8996
4 0 4234
2 5 4524
2 3 3168
4 4 6312
0 0 4346
0 2 4916
4 0 3529
3 4 2647
1 5 9080
2 1 857
1 0 1886
0 2 3512
1 2 9479
5 2 6189
3 2 7641
4 4 8987
4 4 4566
0 3 6856
5 1 2260
5 1 7205
3 5 8518
5 2 6873
1 3 7637
3 0 6607
3 3 9314
2 1 1100
0 5 9438
1 5 3074
0 3 3681
1 1 270
1 5 1839
1 4 2622
4 3 9847
2 2 6682
3 5 5791
4 5 1521
1 1 1491
5 1 9231
2 0 3740
1 5 4098
4 4 7516
2 3 2231
4 2 5404
0 3 9218
3 4 9862
2 1 4977
3 0 9904
3 1 9207
3 3 9744
2 4 127
5 0 7560
2 3 563
2 5 8711
5 3 3291
4 1 3614
3 2 8993
4 2 6882
3 2 6717
1 4 1574
5 3 1486
3 2 3074
0 5 8179
3 2 5775
0 2 5710
5 2 1017
