12 924
0 1 100000
13 1 100000
0 2 100000
13 2 100000
0 3 100000
13 3 100000
0 4 100000
13 4 100000
0 5 100000
13 5 100000
0 6 100000
13 6 100000
0 7 100000
13 7 100000
0 8 100000
13 8 100000
0 9 100000
13 9 100000
0 10 100000
13 10 100000
0 11 100000
13 11 100000
0 12 100000
13 12 100000
9 4 9383
3 1 6915
1 2 5386
5 2 1421
13 11 8690
8 10 3926
3 2 9172
9 5 5368
12 12 5782
5 1 5123
10 0 3929
9 3 3058
9 0 1393
11 1 8042
6 7 4421
2 6 8537
3 8 8315
8 7 3526
4 9 9956
3 8 9170
4 13 2305
5 10 6327
3 11 846
3 12 5857
10 3 9582
0 4 3367
7 0 4043
0 12 6808
7 4 5788
1 8 2651
12 4 9932
8 7 3368
4 6 6226
0 11 7539
1 0 1434
6 7 6601
6 0 3317
2 11 756
7 13 4286
1 6 9689
3 3 8440
11 3 8117
1 5 4481
10 11 8927
8 5 9497
1 8 6965
0 12 6219
11 4 2871
10 11 9503
3 10 3368
4 9 6340
5 4 723
11 5 2846
8 11 3555
13 0 7764
6 7 2350
4 2 7034
8 3 4914
3 7 3743
0 3 8365
7 11 1432
9 9 9228
0 1 1474
11 7 4395
10 9 8235
3 5 4428
6 1 5928
9 11 2404
0 2 4613
2 4 6840
13 4 5128
6 11 7917
6 7 3324
13 0 2183
6 1 9772
9 11 5590
11 0 2954
6 4 8082
7 1 197
9 4 8804
13 2 3622
8 8 7343
1 6 4340
1 7 3810
0 2 5661
10 8 1305
10 0 9444
12 12 3465
0 2 8282
2 8 7637
4 0 2600
10 5 1899
3 1 7468
8 5 7131
10 4 8933
5 11 163
3 12 8899
2 7 3773
4 9 7190
10 2 6466
10 4 2090
13 4 5542
1 12 7445
4 7 8418
7 2 3348
2 12 2009
0 1 6342
6 13 9301
13 9 5321
2 5 4599
4 3 5939
6 3 5667
4 0 1127
10 12 6658
12 7 2422
8 10 4081
10 4 9292
9 13 3850
4 9 1222
7 8 6042
10 2 2298
11 3 2590
12 4 8819
8 4 1155
1 5 379
9 0 1776
11 12 1860
11 9 5884
6 9 7621
12 9 613
0 11 1326
2 0 8202
6 11 6784
9 8 868
0 4 8872
0 10 498
11 10 7753
4 7 3333
11 10 2890
7 2 1746
4 12 4500
4 5 9797
13 9 3303
8 7 2497
10 1 7686
6 7 3996
2 11 9157
7 10 2460
2 6 460
2 6 8027
0 2 7556
5 13 7697
12 12 1039
5 2 6403
5 12 7647
12 9 5151
7 4 4339
3 8 6127
7 2 49
13 5 6429
2 4 3177
13 3 7971
12 6 5367
12 7 5795
10 2 2829
3 5 5340
7 12 3826
13 8 6042
1 9 8023
7 12 6309
9 3 8996
12 6 4234
4 1 4524
12 7 3168
12 2 6312
2 2 4346
12 12 4916
4 0 3529
13 6 2647
9 3 9080
10 13 857
1 10 1886
2 6 3512
7 12 9479
9 2 6189
9 2 7641
6 4 8987
6 12 4566
10 7 6856
13 13 2260
11 11 7205
5 3 8518
11 8 6873
9 13 7637
11 2 6607
11 13 9314
2 13 1100
0 11 9438
5 11 3074
2 11 3681
13 5 270
3 7 1839
9 10 2622
8 1 9847
8 12 6682
5 3 5791
4 3 1521
13 7 1491
9 3 9231
6 8 3740
9 13 4098
0 10 7516
10 1 2231
10 12 5404
8 5 9218
9 6 9862
12 3 4977
5 2 9904
7 11 9207
1 11 9744
0 12 127
9 12 7560
10 1 563
6 11 8711
11 13 3291
4 7 3614
5 6 8993
8 10 6882
3 12 6717
1 6 1574
13 7 1486
9 2 3074
10 11 8179
5 0 5775
4 12 5710
9 4 1017
1 3 1137
10 1 3943
6 3 925
12 9 4018
6 3 6963
8 12 3858
3 13 8571
1 9 9685
13 11 2604
1 10 9250
5 12 9485
4 5 4639
5 4 967
1 6 7677
4 10 865
0 8 7955
12 4 9211
7 5 5196
4 0 8270
0 10 4427
10 0 7283
1 5 5830
5 8 6950
10 1 3714
6 6 4047
12 2 9435
0 5 2954
6 10 5486
6 0 9159
0 1 9683
12 4 1723
3 10 9122
11 5 5821
10 7 2747
3 8 269
5 11 1703
8 13 907
2 13 2806
0 4 7084
2 13 2698
4 9 8898
13 13 5171
4 4 2506
9 11 8224
1 2 0
10 11 5053
8 5 1338
7 11 8067
12 11 6787
9 13 2122
4 1 4850
1 2 2254
4 7 3813
1 7 9181
4 1 5720
13 13 181
4 13 9296
1 8 8722
10 4 297
9 0 3181
11 10 7057
11 10 9999
4 10 7483
9 9 8977
11 4 9932
8 13 4266
7 3 3682
0 1 9086
2 7 5990
2 6 1476
12 1 1892
8 1 8839
2 12 1136
12 1 7643
2 1 6582
13 6 7955
3 10 6815
4 2 853
9 8 1783
0 11 9097
1 7 1269
0 0 3149
12 2 639
11 7 6610
13 8 3890
