16 100 6
13 8 11
54 1 7
40 10 7
13 9 4
52 6 15
31 5 15
81 16 14
9 11 9
37 11 2
42 2 10
3 8 11
50 7 9
90 10 8
91 7 8
1 3 6
50 16 15
24 11 12
95 3 6
52 15 16
35 10 1
44 2 10
19 10 2
70 5 15
84 5 3
55 12 4
79 12 7
40 10 4
90 13 3
93 16 6
59 9 4
28 3 16
76 7 10
27 9 2
66 13 6
98 15 6
9 6 16
84 7 10
14 12 11
9 13 15
23 4 7
98 1 4
62 7 12
98 5 13
77 8 10
99 16 6
25 15 3
68 11 9
59 4 9
32 13 5
26 8 1
9 12 2
13 8 11
27 15 13
87 10 11
89 16 6
7 6 13
34 15 13
44 2 12
60 16 3
74 8 2
27 7 2
46 1 8
40 4 7
13 8 12
84 3 5
31 7 8
94 4 10
31 9 2
44 2 12
36 10 9
64 7 2
13 6 13
70 8 11
87 5 15
68 11 8
63 4 8
80 2 11
60 10 4
98 10 1
100 7 9
90 13 3
91 6 5
85 16 13
96 13 6
14 9 1
52 2 11
4 9 4
85 4 8
51 8 7
31 2 9
37 3 14
52 15 13
82 4 8
63 16 15
13 4 12
50 2 1
85 10 4
45 12 1
26 14 15
43 4 2
+1
+2
-5
+12
-13
-16
