3 3
2 1 1
1 1 0
1 1 3
8 4
2 1 1 0 1 1 1 0
1 0 4 1 1 0 4 1
1 0 0 0 0 0 0 1
1 1 1 4 1 1 1 3
8 5
1 2 1 1 1 1 1 4
1 0 0 0 1 0 0 1
1 4 1 0 1 1 0 1
1 0 0 0 0 3 0 1
1 1 4 1 1 1 1 1
8 7
1 2 1 1 1 1 1 1
1 1 1 1 1 1 1 4
1 1 1 1 1 1 1 1
1 1 1 1 4 1 1 1
4 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 3
8 8
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 4 4 1 1 1 1 1
1 4 4 2 1 1 0 0
1 1 0 0 0 0 0 3
1 1 0 4 1 1 1 1
1 1 1 1 1 1 1 1
8 8
1 1 1 1 1 1 1 1
1 1 2 1 1 1 1 1
1 1 4 4 4 1 1 1
1 1 1 4 4 1 0 1
1 1 1 1 1 1 0 1
1 1 1 1 1 1 0 3
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
6 6
2 1 4 1 1 1
1 1 1 1 1 1
1 1 1 1 4 1
1 4 1 1 1 1
1 1 1 0 0 0
1 1 1 1 1 3
4 5
1 3 1 1
1 1 1 1
1 0 0 4
1 2 0 1
1 4 1 1
8 6
1 3 1 1 1 1 1 2
1 1 0 1 1 1 1 1
1 1 0 1 0 1 1 1
1 1 0 1 0 1 1 1
4 1 0 4 0 1 4 1
1 1 1 1 1 1 1 1
8 8
2 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 4 1 4 1 1 1
1 1 1 1 1 1 1 1
1 1 4 4 4 1 0 1
1 1 1 1 1 1 0 1
1 1 1 1 1 1 0 3
8 8
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 4 4 1 1 1 1 1
1 4 4 2 1 1 0 0
1 1 0 0 0 0 0 3
1 1 1 4 1 1 1 1
1 1 1 1 1 1 1 1
0 0
