383
ENE 2778
SWbS 7794
NbW 5387
SE 6650
SEbS 2363
SEbE 8691
NWbW 7764
ENE 541
NNE 9173
W 5212
E 2568
SEbS 5783
WNW 2863
NEbN 4068
NbW 3930
WNW 4023
SSW 3070
WbS 1394
W 5012
WNW 6230
NWbN 4422
WbS 3785
EbS 5199
SW 8316
SSW 6414
ENE 6092
SW 9957
SbW 6863
NNE 6997
NbE 2306
NWbN 7085
EbN 337
EbS 847
NbE 1314
NbE 6125
EbN 9583
NbE 8815
WbS 5435
NW 4044
WSW 1088
W 7277
ESE 5789
S 5404
NWbW 2755
SbE 9933
SW 9677
W 7740
NW 6227
WNW 8095
NEbN 796
WNW 1435
WNW 7468
EbS 98
ENE 3318
NW 6653
SW 7302
W 4287
NbE 3866
WbN 8445
NWbW 8441
WbN 8032
SWbW 8098
SEbE 4482
SWbS 710
SbE 4568
N 9498
NbE 4587
NEbE 5307
SEbE 6220
S 1529
EbN 5733
NWbN 9504
NEbN 8271
E 9709
NWbW 6341
NEbE 7797
SWbS 2619
NEbE 2847
SEbE 2922
NEbN 2380
S 7765
NE 9842
NNW 5194
NW 7035
SW 125
SSW 6988
S 3744
NWbW 2228
SEbS 9860
S 1433
EbN 6438
NW 3276
SbE 1475
WbN 8859
NWbW 6030
SWbW 8236
NbE 5819
NW 6144
NEbN 5929
EbS 8777
NE 4444
SWbS 4614
ESE 8607
E 2905
SSW 5129
N 7370
SEbS 9918
SW 3325
NbW 9471
WbS 8491
SEbE 9773
NEbE 5645
ENE 7506
SEbE 2955
WNW 7670
NNE 8543
S 198
SWbS 9356
NE 6349
SWbS 3623
SW 9300
SbE 5747
S 4341
NNW 3312
SSW 7606
EbS 5662
NNE 4879
EbS 9321
S 9445
SSW 8523
EbS 6709
E 8283
ESE 2925
SWbW 2063
W 2601
NE 3453
NWbW 9380
SSE 7469
WbS 974
NWbW 3882
NNE 8934
ENE 8661
SWbS 7200
SEbS 8900
NE 2960
SEbS 2814
SW 7191
EbN 2927
SSW 5085
SE 2091
NE 3377
WSW 5937
NEbN 7446
SE 9180
SSW 6888
NE 3349
SE 1660
WbN 2337
WNW 6343
NEbN 8207
NEbE 7714
