146094 193838 5236
P 184853
P 110239
W 9264
P 125741
P 180379
W 78675
W 140012
P 151445
W 121963
P 175588
W 144152
P 67351
P 105556
W 20220
W 52590
P 48642
W 136353
W 67141
P 164445
P 115374
P 100079
P 133839
P 90720
W 126205
P 169552
P 159687
W 38028
P 54290
W 41592
W 88768
W 23435
P 193175
W 96470
P 58169
P 62897
P 85977
P 42998
P 71390
W 106864
W 110821
P 95697
W 129579
W 56426
P 75905
P 188659
W 71262
P 81067
P 120280
W 85279
P 146719
W 133017
P 141726
P 27698
W 34275
W 114364
W 48539
W 100401
P 129626
P 33532
P 38371
W 118179
W 63587
W 27457
W 103197
W 60218
P 22929
W 7500
W 30696
W 16582
W 44963
W 81899
P 155477
P 137249
P 184861
P 110363
W 92672
P 125773
P 180390
W 78752
W 140104
P 151450
W 122003
P 175754
W 144270
P 67457
P 105558
W 20319
W 52705
P 4865
W 136439
W 67183
P 164450
P 115392
P 100136
P 133841
P 90747
W 126217
P 169611
P 159707
W 38070
P 54363
W 4165
W 88879
W 23472
P 193366
W 96491
P 58224
P 63106
P 8599
P 43021
P 71418
W 106933
W 110834
P 95836
W 129589
W 56433
P 76069
P 18872
W 71324
P 81084
P 120320
W 85295
P 146820
W 133048
P 141744
P 27836
W 34283
W 114383
W 48697
W 100419
P 129717
P 33576
P 38438
W 118182
W 63696
W 27490
W 103203
W 60269
P 23023
W 75022
W 30706
W 16619
W 44971
W 8197
P 155535
P 137260
P 184874
P 110451
W 92697
P 125970
P 180710
W 78800
W 140229
P 151551
W 122104
P 175769
W 144288
P 67542
P 105600
W 20342
W 5274
P 48656
W 136474
W 67240
P 16448
P 115451
P 100195
P 133944
P 9076
W 126233
P 169660
P 159740
W 38095
P 5437
W 41748
W 88933
W 23523
P 193519
W 966
P 58263
P 6311
P 86034
P 4306
P 71509
W 10703
W 110925
P 95930
W 12960
W 56527
P 76089
P 188725
W 71410
P 81232
P 120362
W 85303
P 146859
W 133061
P 141913
P 27879
W 34295
W 114396
W 48771
W 100422
P 129834
P 33621
P 38477
W 118200
W 63697
W 27506
W 103209
W 60284
P 23085
W 75060
W 30751
W 16630
W 44982
W 82013
P 155664
P 137341
P 184876
P 110480
W 92833
P 126065
P 180769
W 78828
W 140280
P 151711
W 122112
P 175806
W 144472
P 67586
P 105703
W 20537
W 52753
P 48763
W 13656
W 67248
P 164539
P 115474
P 100279
P 133956
P 90796
W 126265
P 169675
P 159786
W 38185
P 54380
W 41755
W 88993
W 23603
P 193586
W 96629
P 58266
P 63180
P 86063
P 43222
P 7159
W 107092
W 110930
P 95952
W 129659
W 56573
P 76192
P 188794
W 71437
P 8124
P 120391
W 85474
P 146871
W 133068
P 142076
P 27920
W 34339
W 114453
W 48829
W 100453
P 129846
P 33734
P 38480
W 11821
W 63788
W 27760
W 103223
W 603
P 23257
W 75203
W 30780
W 16649
W 45010
W 82068
P 155731
P 137380
P 184878
P 110584
W 92888
P 126068
P 180779
W 78858
W 140315
P 151885
W 122141
P 175821
W 144548
P 67590
P 105726
W 20642
W 52862
P 4879
W 136608
W 67504
P 164698
P 115562
P 10035
P 133963
P 90800
W 126281
P 169724
P 159836
W 38252
P 54493
W 41761
W 89086
W 23622
P 193636
W 96645
P 583
P 63241
P 8610
P 43228
P 71615
W 107216
W 111041
P 95954
W 129664
W 56622
P 76413
P 188881
W 71441
P 81339
P 120533
W 85480
P 146874
W 133073
P 142085
P 27967
W 34389
W 114536
W 48897
W 100569
P 129870
P 33813
P 38572
W 118285
W 63791
W 27812
W 103229
W 60302
P 23314
W 75316
W 30849
W 16805
W 45054
W 82099
P 155819
P 137455
P 184895
P 110612
W 92933
P 12609
P 18081
W 78874
W 14037
P 151936
W 122146
P 175842
W 144617
P 676
P 105791
W 2066
W 52899
P 48922
W 136652
W 67510
P 164821
P 115693
P 100423
P 133986
P 90844
W 126412
P 169744
P 159845
W 38304
P 54546
W 41926
W 89153
W 23679
P 193665
W 96657
P 58312
P 63255
P 86292
P 4340
P 71669
W 107338
W 111059
P 95976
W 129735
W 56692
P 76437
P 18900
W 71457
P 81590
P 120662
W 85518
P 146911
W 133129
P 142168
P 28088
W 34402
W 114566
W 49007
W 100577
P 130046
P 34173
P 38579
W 11845
W 63838
W 27831
W 103271
W 60324
P 23331
W 75389
W 30881
W 16827
W 45175
W 82100
P 155834
P 137471
P 185070
P 110625
W 92937
P 126140
P 180921
W 7888
W 140427
P 152004
W 122186
P 175864
W 144704
P 67684
P 105794
W 20688
W 52921
P 48937
W 13672
W 67731
P 164825
P 115763
P 100511
P 134006
P 90853
W 126477
P 169750
P 159846
W 38363
P 54554
W 41964
W 89157
W 23688
P 193699
W 96673
P 58344
P 63328
P 86346
P 4343
P 71671
W 107366
W 11106
P 96035
W 1298
W 56714
P 76467
P 189103
W 71588
P 81696
P 120695
W 85557
P 146915
W 133269
P 142247
P 2812
W 34421
W 114669
W 49095
W 100595
P 130065
P 34273
P 38672
W 118451
W 63917
W 27843
W 103301
W 60419
P 23387
W 75521
W 30903
W 16898
W 45199
W 82322
