1000
10 13 2114539510
4 31 21303102100103
15 23 1444D4457
11 4 279768676
21 9 7JA0C4C
23 18 I161MBC
36 19 13SJ3LL
17 3 185AC816
32 22 23917AL
6 5 45001113445
26 4 1
5 28 210432021030
31 31 RI9RBA
24 13 1B4NNEC
26 30 1M4LGP0
9 29 4682767456
2 36 100001101000111000100010100001
34 19 1P3LQDW
34 33 1TBGQDM
10 6 1439977096
5 6 241303114102
11 13 151A36717A
13 2 4A2957415
12 30 57700AA16
19 3 379HAF8B
23 4 E2F3JK3
21 3 7H1I9J0
25 5 812LJ28
8 36 16556605410
32 6 2RB2N7Q
34 8 1HTEOPB
36 19 OK0VA1
31 23 1609NP3
24 2 JK1K470
36 35 IT1AEQ
27 2 743MI9N
17 33 2DF0DBA2
28 4 83RJ1I6
32 23 1
3 5 1010201221112001001
12 25 5238B242A
15 30 18039609E
11 12 12A48A2681
29 27 1DOO700
10 4 1065673298
24 23 H8N1FE4
36 36 1DGWZ7T
19 12 0
7 26 33341135554
31 14 0
4 11 200330120222312
32 26 29JADHD
14 22 117278B0A
3 2 20220221120202012011
25 27 6C1FOI2
21 28 245F2AIF
6 13 125100423330
20 30 1IDA632
20 10 F51645
23 25 11B3M7DH
21 27 D57175K
24 28 5M95HJD
4 6 20002131202000
36 25 1TT1FO9
16 24 48B43BA8
5 32 14342243213212
32 21 27H8GN8
11 2 1772994227
25 28 8IM8OC8
2 30 1010110010001100001011011101011
28 26 7A9H7I2
29 35 30IMF4I
33 19 2MPV0WR
24 6 ACIJM2J
7 23 50016041125
22 8 11FEH0A5
19 8 3DAGB398
16 7 7D5EFA2C
32 25 3EOSH4B
36 18 86EMS3
2 6 101100100001111011111001011
10 20 2199646996
34 36 0
15 27 9CAB1AC9
20 25 16FC080J
5 34 11114003034034
29 7 69NHNFS
19 6 3D3848HA
4 2 2022323130110300
18 33 36B5H54F
35 12 1QYPTNF
11 24 116533A547
24 6 1
17 35 3797132E
27 36 4Q7P583
20 10 1IFF9981
24 7 GNJB8HN
30 15 QT6PPA
19 27 3FC149A1
29 13 3CJDG4R
10 5 2027335282
28 5 71J1FL1
18 8 54H88GD2
13 22 4B143191
7 16 12163565411
4 8 3111123103333030
17 30 8D62F8B6
23 22 13III9L
5 9 31143000000000
17 35 578EDA2C
29 12 6IHA175
18 12 27A64D35
3 30 101002120001100011220
12 28 218B44B64
21 10 1KE11J73
36 10 RPQV7L
16 20 BD10E877
3 36 1012102000102012220
6 11 104001013502
26 30 3GGAEEF
34 13 2K18RKS
31 27 4543AL3
6 3 1121125135450
18 29 4979EBGB
24 3 L8JE9H
32 34 HG63G9
15 33 DE11D16A
34 13 TE9L9X
2 3 11011011100001010011011011101011
18 8 63EF6272
17 17 3F497G55
35 9 1DWLFOH
12 12 7885716A0
17 4 71345864
3 16 2121020120122211112
32 30 2HKAIP1
34 21 109SHEB
32 5 A3QUBQ
23 5 I3EAHB1
9 2 1626070142
29 29 2R8GO9R
21 13 I9CGHDH
14 29 1B11CC5C
19 6 39GH3B3E
2 35 10011111011110111010001110010100
27 24 3P61N11
22 33 EEK6HKK
9 32 4680317025
4 16 1032112232112211
5 11 22123102414022
26 26 9NPJ82B
21 31 6F6747B
8 25 25663203261
20 25 14BA54EH
20 23 882E3F
30 9 37JK0I3
15 2 E2261D97
26 26 B23DN10
8 18 11360643564
13 13 209BA2B00
9 31 10634078212
9 25 5636446663
15 29 10C70B790
25 3 AF1I4M6
26 36 1CKCHK6
32 23 16UIA44
11 7 A69615952
33 22 1UDOBN5
20 2 122C1IA2
20 2 4JG83D5
5 7 23040334404133
21 36 4F5AH72
13 22 23146220A
26 35 9G80DE1
26 19 4F94ECP
10 19 1104410212
31 6 21KDO80
12 9 399A52665
12 2 41A793969
33 9 TFS76U
18 5 0
14 31 2515150D4
10 21 1241094530
16 18 14356C4
5 24 31030014410440
24 26 2CG0069
22 34 107KFL9A
28 24 81CR93B
18 26 69AFH104
28 11 50I59M8
31 35 33KQJSD
15 10 E59EEB4E
25 4 82NN1A6
17 32 5G438380
30 27 3I5GGA0
21 18 21K4EKED
23 26 109F5064
31 5 1
29 28 4M26788
30 34 3OGKNP2
6 23 433554004523
27 31 6ONNON5
21 30 14G2917A
26 12 C0EAC52
24 19 8DF24K9
5 35 42123313213
15 15 130C8EBEB
16 22 AA3FA596
30 35 DK92TF
33 30 LJEON8
34 34 24QSQQA
7 35 31023561163
24 15 714C7H7
15 7 1590D56BC
2 7 11101110011010110010100000000000
24 5 810IN4K
28 31 3939MG2
28 4 3CA6CMB
3 12 20101121012202012202
