63
317 156 6 9
70 242 12 11
146 147 9 9
126 71 15 15
1 44 16 1
86 293 1 5
221 75 16 8
55 332 2 10
270 9 1 7
172 8 1 4
165 349 16 17
144 291 15 4
271 176 17 13
262 25 11 17
258 120 8 17
207 314 11 9
340 114 3 3
17 180 17 11
216 182 8 6
0 28 11 5
190 271 1 10
316 89 5 2
178 243 6 3
213 53 1 8
128 221 2 11
265 176 13 9
64 118 12 3
311 64 7 5
29 138 4 15
66 345 10 16
103 244 17 6
335 347 8 8
120 100 1 9
84 22 10 13
199 179 16 12
335 147 9 5
248 1 5 3
17 314 9 14
359 120 2 16
354 362 2 9
222 111 11 2
106 337 1 3
289 305 6 16
345 292 12 5
317 230 12 16
279 2 15 3
297 306 10 16
206 288 12 2
177 96 2 5
172 283 10 10
321 129 12 15
118 334 2 14
28 103 13 4
156 339 2 1
123 90 11 11
328 360 8 6
344 143 14 17
87 153 17 6
333 45 5 3
91 119 11 15
331 151 7 14
223 155 3 8
302 14 8 4
