3995 39038 28
541 850 7136540 I
1586 2579 992462 I
3127 1449 7580378 I
239 2742 1417983 I
1097 3330 1453205 O
573 2855 5481568 O
1052 3747 7731287 O
1800 958 6194834 O
1191 2125 5180946 I
998 2648 3116348 I
3583 2682 1046149 I
1447 175 745307 O
2465 842 7160283 O
2802 1333 3762243 I
3656 1481 2851841 I
1693 3763 7837941 I
2157 3865 8078047 O
2784 3202 1729835 I
1594 836 2851432 I
594 283 5028966 I
2589 2419 2538364 O
1845 3464 9785454 O
3548 199 4993366 I
2693 3569 9419794 O
2689 3945 6205154 I
564 2530 6807431 I
1471 3984 3918165 O
3013 840 2158445 I
3484 3313 1305347 O
3135 2331 9575382 I
3247 3216 9641015 O
2432 3047 9024885 I
1389 396 851694 I
3289 2494 2738933 I
1204 2052 9330803 O
3683 815 4747805 O
1657 2284 8616081 I
3705 2458 8744696 I
2976 3527 8936596 I
322 142 1001995 I
3975 111 3920806 O
1345 1361 8026188 O
3453 3691 7661427 O
1837 1217 4641211 O
2573 1898 9636425 O
3705 3806 5043482 I
2212 201 8994466 O
2314 947 4956804 I
1663 1404 3678753 I
1022 1850 9119619 O
2616 2415 9943775 I
913 2330 4960555 O
3281 2749 8585676 O
3132 3525 9468512 I
1296 66 8902853 O
1383 2860 6905909 O
1408 2807 5724603 I
535 3235 7235666 I
3415 3601 7004763 I
3956 2667 8536264 O
986 2165 9936398 O
1323 2791 4840236 I
3457 489 5019805 O
68 3091 3552382 I
412 1687 7623690 I
66 1310 9579066 O
1499 3624 6709989 I
2976 52 4277783 O
1282 265 2532913 I
817 1345 2873853 I
2832 3017 6954576 O
3475 2856 6338722 O
1449 400 1145377 I
1594 2582 8314097 O
2553 1070 9500457 O
1519 504 9595928 I
1197 3438 767800 O
2277 3196 1234659 I
2940 2834 3677965 I
1763 1257 1137889 I
2833 831 5714304 I
2504 1621 6589772 O
600 3229 8743897 O
2073 1279 5930570 O
1607 1653 8809582 I
2235 1868 9220014 O
3903 2664 6483757 I
2987 3909 5072646 O
1075 1366 4432797 I
3418 2978 4698031 I
3895 914 4542962 O
2703 1052 2846759 I
3261 3570 6855288 O
410 2682 5677087 I
2056 2831 2145388 I
2230 3817 1688348 O
1247 1411 8866467 I
3726 2265 8385282 O
3218 1207 9708917 I
2362 874 7553946 O
1489 737 7917652 I
2502 1141 712887 I
165 1233 5108951 O
2811 156 5638070 I
1237 362 3884401 I
3058 1902 9813498 I
2011 3751 9258484 O
838 3667 742138 I
476 2551 9087465 I
3783 2458 4673203 I
1605 913 5245874 I
3376 2105 8105220 O
2526 1569 6229412 I
1922 564 2926178 O
2800 3008 2142436 I
829 2415 7708637 O
1148 2854 5913406 O
3018 1356 781290 O
1714 3461 1926590 O
1119 2663 6970416 O
1112 504 8176016 O
2723 2758 4378021 O
1446 2793 1331685 I
3104 933 768551 I
116 2413 1190768 O
2453 1100 7628317 I
510 2477 6170443 I
1282 3356 99889 O
3687 1607 4918456 I
3059 3369 1054695 I
2243 24 1234517 I
3254 3352 4505615 O
3970 615 1967052 O
725 2701 7840104 O
248 3926 4215974 I
1571 3648 8345015 I
1083 1726 2013338 I
109 334 8189463 O
2500 733 1021017 O
2324 872 9856467 I
3979 3723 3340488 I
629 2843 6529373 O
2172 1676 4068064 I
1555 23 9213069 I
2467 1608 1585436 O
2004 349 6718990 I
3723 2102 7728952 I
1321 3136 902701 O
2555 3457 8025133 O
351 3029 8440845 I
1188 3725 8498567 O
1683 732 249109 I
2024 1406 3621242 O
904 3945 1103488 I
2804 1961 243700 O
2532 859 695197 O
929 1085 2708894 O
2289 290 4948116 I
1614 2732 3540379 O
3310 228 572526 I
3841 267 926286 O
1166 3582 8968871 I
1535 992 3059646 O
3059 2036 9521128 I
1193 2926 178122 O
74 648 9677125 O
3063 931 918438 O
1357 2624 7091578 O
3249 3101 4203340 I
2975 593 6113832 O
3309 3803 8465313 O
3616 965 7435197 I
1691 2094 5784836 I
2977 3713 6497948 I
1965 3156 3457576 I
1027 2289 9005117 O
1586 908 926920 I
3369 3014 888655 I
1913 1992 3543097 I
921 1047 4200423 O
2141 3263 9547985 I
3367 3660 3626637 I
2705 961 7010143 O
3003 1839 9300091 I
2199 157 6656440 I
3842 1677 9038339 O
367 663 5460220 O
2057 628 3294342 O
2387 1190 5180165 O
3618 25 7645076 O
736 3478 7744524 O
85 160 2152186 I
1185 1284 7695360 I
2762 3093 5268346 I
2670 1057 4157092 O
1822 940 1073262 O
3257 1166 7331225 O
432 3281 3564606 O
3638 1355 986548 O
2233 759 4805682 O
2057 3374 8771825 O
437 653 5340946 O
2664 2650 3393176 I
576 2505 4902538 O
399 3472 8141342 O
173 556 2357386 I
3989 2217 454933 I
966 685 323315 I
350 1269 4449335 I
2710 1335 9861041 O
1903 1972 6541164 O
2968 1124 8895198 I
1305 634 2010992 O
3607 1299 4531515 I
899 1745 9115891 I
2463 573 9848489 I
3682 1685 5691426 I
1612 1276 1175417 O
2750 172 3387743 O
2386 2829 1199419 O
804 2316 2196972 I
1677 1696 8657312 O
2767 1043 2749515 O
485 379 770619 O
980 1696 5056992 I
2296 1680 1828956 O
266 3304 9033582 O
3603 2465 6311528 O
355 1575 5691553 O
3794 3143 904239 I
3087 2932 7784460 O
567 3127 4270308 O
3729 2853 1950217 I
344 2185 1299930 I
2705 3581 1415870 I
3363 2033 9070377 I
1325 1511 4894575 O
157 2860 4562117 O
3828 2410 9261549 O
2277 3552 1416735 O
1265 3651 1799349 I
1360 3711 6676289 I
1750 1103 8413519 O
3598 1108 8511580 O
3682 1170 9952707 O
1635 350 5672365 I
336 2087 681637 I
1881 98 6062052 I
1977 1736 2574709 O
1814 3019 9028202 I
2350 652 3508633 O
596 1770 5985968 I
1079 3179 8090431 I
2503 3492 3411618 I
1030 2784 8816756 O
2457 3319 8804568 I
1976 360 7685852 O
1940 2174 1470090 O
1015 220 6130057 O
3783 325 3204156 I
3060 773 5992240 I
128 2543 1751033 I
3040 3241 538026 I
1290 3215 7815188 O
670 3954 1383623 O
3199 3945 7753254 I
2627 2067 5453792 O
3947 3608 6863101 O
3184 2357 1626858 O
620 178 8450791 I
224 3308 7057162 O
340 2841 8083563 I
2324 54 5441975 I
112 1843 31408 I
1362 2080 3918611 O
3496 3938 3463840 I
1580 1598 6738634 O
2975 3687 5065241 I
1141 265 2635043 O
2165 3791 5143442 I
2177 6 5894368 O
266 1300 4706525 I
3644 401 1748253 O
2054 1183 7929591 I
2496 1026 1231258 I
3063 504 1965463 I
1119 2977 5869544 I
1115 1382 7217743 O
3935 3724 8533368 O
806 829 9964150 I
3404 248 6155679 O
1785 2514 5064123 I
3345 3230 8218663 O
2794 400 9471874 I
1172 1662 2735065 I
1036 3173 9326261 I
1209 1797 6848868 O
3357 2222 1322754 I
936 36 6520776 O
1274 1827 7393327 O
1877 3910 968234 I
3980 2515 8706047 O
3871 1187 2333848 I
285 1072 3230256 O
230 2802 6478003 O
433 3599 6488534 O
279 1201 9283250 O
805 1875 5581992 I
107 3708 2961515 O
3038 2388 1267952 O
2222 3242 9365871 O
3413 2092 9472224 O
3497 1632 1894886 O
1713 1361 5575136 O
2444 2430 8808979 O
2626 1063 5498848 O
333 136 2430050 I
1890 980 8632410 I
3170 1568 4343651 I
6 1356 2669696 I
2861 3988 9612038 O
1938 860 8244806 I
3320 330 2938405 I
1174 899 307109 O
331 3075 2525283 O
2614 3222 5271548 I
966 1967 5492503 I
2949 659 3937362 O
1798 63 3754173 O
1114 375 3697894 I
1849 1115 2124369 O
2005 3356 1521055 I
1534 3853 3380774 I
2434 3850 9112460 I
3229 2785 8329428 O
1109 1536 1530102 I
3992 2552 8077415 O
558 702 2484378 O
731 2303 5569742 O
2414 283 5286914 I
1701 331 2258763 I
2861 2528 555186 O
3982 2735 4543428 O
853 3464 1197153 I
1517 3623 294599 I
3142 1664 8779718 O
3948 2522 6053899 I
1224 31 2530377 O
264 1786 754716 O
3178 717 6508138 O
1557 1958 6104164 I
3865 1991 9591531 I
1872 219 395702 I
2630 2814 1966156 O
458 22 1825260 I
792 2814 6911255 I
1894 3473 2536524 O
3118 3505 5367871 O
1518 3561 5890383 O
3350 3184 5072818 I
946 2409 6373762 I
1998 3666 8678353 O
932 2679 9566708 O
1919 2588 6578494 I
785 2074 525720 I
2203 463 2049440 I
2908 3296 6328338 I
2961 583 4015506 I
2021 122 3747119 O
871 3506 1505362 O
3800 2740 9460201 I
3262 2386 6182640 O
1190 622 2229302 O
2024 2296 1510806 I
1642 1780 9516845 I
2187 2705 9345038 O
1308 182 169397 I
1870 2804 5905450 I
725 1726 3840829 I
2459 2148 304621 O
2710 3484 4447323 O
3285 590 9678707 I
2650 3053 196654 O
1288 3542 7361035 I
997 309 3703252 O
777 3398 8611582 O
3289 3271 2983213 I
2375 653 9592285 I
3115 1792 3747043 I
36 2524 3067405 I
1685 1525 339002 O
1739 1052 4139131 I
20 2261 1281267 O
1525 3730 9282881 I
2216 2268 5332516 O
2537 1435 5551196 I
68 2555 1732065 I
