3952 39492 30
3554 941 4973179 I
2026 66 2225442 O
1372 2254 2756487 O
2489 2612 8940703 O
1589 2959 4086814 O
3539 3923 2230952 I
2816 1761 3698003 O
3321 329 1224115 O
2634 74 1202290 O
2916 197 7980406 I
458 1280 8192363 O
1513 2582 3425521 O
369 3579 7439120 O
1588 2045 3859787 O
121 3223 5760419 O
477 575 5598425 O
1448 2783 4877100 I
3383 2657 388644 I
3532 579 5772000 I
590 2441 5381777 O
2077 2194 5565933 O
3926 1331 2319577 I
1455 992 3113203 O
849 521 3079965 O
3519 2801 4503634 O
3703 185 5796380 I
2547 619 7537713 O
2284 2035 3643830 I
3645 2856 5745103 I
3535 600 2701841 I
1366 785 3338907 I
3335 780 8244898 O
52 3155 3368944 O
902 883 7064527 O
470 189 7817208 I
552 263 7853760 I
2804 1232 7622815 I
2370 3264 5331020 O
913 3325 8987426 O
2741 2442 7375495 O
2843 826 9067966 O
1321 1970 4015254 I
3063 3213 9709148 I
2404 3881 1461636 O
3575 2942 2467228 O
2419 783 3121021 I
3733 2265 9910040 I
765 776 2174328 O
2295 3001 9429134 O
2821 3162 7359091 I
1147 766 343425 O
2006 1724 516003 O
2041 2855 2910080 O
3126 1945 4581358 I
3062 824 8457384 O
3733 2378 6006997 I
621 1493 8580466 O
1853 1823 308146 O
3573 1300 3293373 O
2833 886 4767940 O
2128 527 2547517 O
1120 1602 6015802 I
871 1823 8899017 I
144 2885 6878987 O
1776 2449 9414384 O
2885 2709 6385245 O
74 1364 4597002 I
1257 3066 7081890 O
1998 3609 3512334 O
915 1150 7119142 I
3917 3697 7322878 I
1378 3499 3139872 I
3462 2818 3742715 O
2193 3120 4654109 O
3374 2994 3744956 O
850 284 126942 I
3431 218 6223203 O
3765 529 667038 O
2940 211 8206648 I
3600 610 5722839 I
2497 3228 3751034 I
1237 3396 3794551 O
533 3665 595259 I
2609 128 6408024 I
2368 2261 9953215 O
1785 2447 504598 I
2983 2393 3985562 O
3372 2364 8210959 O
517 322 8692872 I
1862 3365 8565585 O
1554 854 2221641 O
2616 2074 8094091 I
3517 2399 210933 O
1155 188 3826844 I
643 54 3808695 O
2972 3390 6021615 I
3063 3448 7982676 I
1222 647 2596983 I
2937 340 5754928 I
1421 2910 5086839 I
2082 2619 7139576 I
983 2908 9042521 O
1235 2414 7742001 O
915 2077 5735446 I
3387 1379 4296703 I
2795 3662 8601883 O
1296 1568 8707703 O
435 432 5469255 O
978 3438 794961 O
1465 2355 3095491 O
2653 2486 5259214 O
725 3003 3675974 O
1605 1895 3271461 I
2072 1487 7368129 I
3577 1245 192641 I
158 1876 1744375 O
3282 1691 4659956 I
1949 1221 1786611 I
2675 3218 1563553 I
1398 1326 4567484 I
3512 2311 693515 O
3489 1116 4236949 O
2392 2544 9624113 I
2994 1422 1837924 O
1093 1655 6369028 O
2616 3127 9619473 I
3705 2101 8197278 I
3258 841 9509859 O
2265 1912 1187445 I
2394 1370 9327228 I
1747 1261 6445985 O
3188 2386 924293 O
3296 725 8920778 I
3085 3195 5030658 O
2100 420 4131145 I
3189 2367 1515087 O
1867 2621 6911738 I
1527 829 213965 I
396 3479 7210172 O
3078 148 5566097 O
903 3786 1749703 O
3104 1958 2759821 O
3688 2146 5976064 I
2412 2310 5195076 I
3315 3066 7885353 I
2637 3898 868921 O
1240 2418 3681374 I
3742 2745 1127375 I
270 730 9703094 O
821 1628 9087729 I
3897 2564 8807170 O
3186 625 6792757 I
