500 500 250000
1 1 2 D
1 1 2 D
2 2 2 U
1 2 2 D
1 4 2 L
1 3 2 R
2 4 2 L
2 3 2 R
2 5 2 U
2 5 2 U
2 6 2 U
2 6 2 U
1 7 2 D
1 7 2 D
2 8 2 U
2 8 2 U
1 9 2 D
1 9 2 D
2 10 2 U
1 10 2 D
1 12 2 L
1 11 2 R
2 11 2 R
2 11 2 R
1 13 2 D
2 13 2 U
2 14 2 U
2 14 2 U
1 15 2 D
2 15 2 U
2 16 2 U
2 16 2 U
2 17 2 U
1 17 2 D
1 18 2 D
2 18 2 U
1 19 2 D
2 19 2 U
2 20 2 U
2 20 2 U
2 21 2 U
2 21 2 U
2 22 2 U
1 22 2 D
1 23 2 D
1 23 2 D
1 24 2 D
2 24 2 U
2 25 2 U
1 25 2 D
1 26 2 D
2 26 2 U
1 27 2 D
1 27 2 D
2 28 2 U
1 28 2 D
1 29 2 R
1 30 2 L
2 30 2 L
2 29 2 R
1 32 2 L
1 32 2 L
2 32 2 L
2 31 2 R
1 33 2 R
1 34 2 L
2 34 2 L
2 33 2 R
1 35 2 D
1 35 2 D
1 36 2 D
1 36 2 D
1 37 2 D
2 37 2 U
1 38 2 D
1 38 2 D
2 39 2 U
1 39 2 D
1 40 2 D
1 40 2 D
2 41 2 U
1 41 2 D
2 42 2 U
1 42 2 D
1 43 2 D
2 43 2 U
1 44 2 D
1 44 2 D
1 45 2 D
1 45 2 D
2 46 2 U
2 46 2 U
2 47 2 U
1 47 2 D
1 48 2 D
1 48 2 D
1 50 2 L
1 50 2 L
2 50 2 L
2 49 2 R
2 51 2 U
2 51 2 U
2 52 2 U
1 52 2 D
1 54 2 L
1 53 2 R
2 53 2 R
2 53 2 R
1 55 2 D
2 55 2 U
1 56 2 D
2 56 2 U
1 57 2 R
1 57 2 R
2 57 2 R
2 57 2 R
1 59 2 R
1 59 2 R
2 60 2 L
2 59 2 R
1 62 2 L
1 61 2 R
2 61 2 R
2 61 2 R
1 63 2 D
2 63 2 U
1 64 2 D
2 64 2 U
1 65 2 D
1 65 2 D
1 66 2 D
2 66 2 U
1 67 2 D
1 67 2 D
2 68 2 U
2 68 2 U
1 70 2 L
1 70 2 L
2 69 2 R
2 70 2 L
1 72 2 L
1 71 2 R
2 71 2 R
2 72 2 L
1 74 2 L
1 74 2 L
2 73 2 R
2 73 2 R
1 75 2 D
1 75 2 D
2 76 2 U
2 76 2 U
1 77 2 D
2 77 2 U
1 78 2 D
2 78 2 U
1 79 2 R
1 79 2 R
2 80 2 L
2 79 2 R
1 81 2 D
2 81 2 U
1 82 2 D
1 82 2 D
1 83 2 D
2 83 2 U
1 84 2 D
1 84 2 D
2 85 2 U
2 85 2 U
2 86 2 U
1 86 2 D
1 88 2 L
1 88 2 L
2 88 2 L
2 87 2 R
1 89 2 R
1 89 2 R
2 89 2 R
2 89 2 R
1 92 2 L
1 91 2 R
2 92 2 L
2 91 2 R
1 93 2 D
2 93 2 U
1 94 2 D
2 94 2 U
1 95 2 R
1 96 2 L
2 96 2 L
2 96 2 L
1 97 2 R
1 97 2 R
2 98 2 L
2 98 2 L
2 99 2 U
2 99 2 U
1 100 2 D
1 100 2 D
1 101 2 R
1 102 2 L
2 101 2 R
2 101 2 R
1 103 2 D
2 103 2 U
2 104 2 U
2 104 2 U
2 105 2 U
1 105 2 D
1 106 2 D
2 106 2 U
1 107 2 D
1 107 2 D
2 108 2 U
2 108 2 U
1 109 2 D
1 109 2 D
2 110 2 U
2 110 2 U
2 111 2 U
2 111 2 U
2 112 2 U
2 112 2 U
1 113 2 D
1 113 2 D
1 114 2 D
1 114 2 D
1 115 2 R
1 116 2 L
2 115 2 R
2 116 2 L
1 117 2 D
1 117 2 D
2 118 2 U
1 118 2 D
1 119 2 D
2 119 2 U
1 120 2 D
2 120 2 U
1 122 2 L
1 121 2 R
2 121 2 R
2 121 2 R
1 123 2 R
1 123 2 R
2 123 2 R
2 123 2 R
2 125 2 U
2 125 2 U
2 126 2 U
1 126 2 D
1 128 2 L
1 128 2 L
2 127 2 R
2 127 2 R
2 129 2 U
1 129 2 D
2 130 2 U
2 130 2 U
1 131 2 R
1 131 2 R
2 131 2 R
2 132 2 L
2 133 2 U
2 133 2 U
1 134 2 D
2 134 2 U
1 135 2 D
1 135 2 D
2 136 2 U
1 136 2 D
2 137 2 U
2 137 2 U
2 138 2 U
1 138 2 D
2 139 2 U
2 139 2 U
2 140 2 U
1 140 2 D
1 141 2 D
2 141 2 U
2 142 2 U
1 142 2 D
1 143 2 D
1 143 2 D
2 144 2 U
1 144 2 D
1 145 2 R
1 145 2 R
2 145 2 R
2 146 2 L
1 147 2 R
1 148 2 L
2 147 2 R
2 148 2 L
1 149 2 R
1 149 2 R
2 150 2 L
2 150 2 L
1 151 2 R
1 152 2 L
2 152 2 L
2 152 2 L
1 153 2 R
1 153 2 R
2 153 2 R
2 153 2 R
2 155 2 U
2 155 2 U
2 156 2 U
2 156 2 U
2 157 2 U
1 157 2 D
2 158 2 U
1 158 2 D
1 159 2 R
1 160 2 L
2 159 2 R
2 159 2 R
1 161 2 D
2 161 2 U
2 162 2 U
1 162 2 D
1 164 2 L
1 163 2 R
2 164 2 L
2 164 2 L
1 165 2 R
1 165 2 R
2 165 2 R
2 166 2 L
2 167 2 U
2 167 2 U
2 168 2 U
2 168 2 U
1 169 2 D
1 169 2 D
2 170 2 U
1 170 2 D
1 171 2 R
1 172 2 L
2 171 2 R
2 172 2 L
2 173 2 U
1 173 2 D
1 174 2 D
2 174 2 U
2 175 2 U
1 175 2 D
2 176 2 U
2 176 2 U
2 177 2 U
1 177 2 D
2 178 2 U
1 178 2 D
1 180 2 L
1 180 2 L
2 180 2 L
2 180 2 L
2 181 2 U
1 181 2 D
1 182 2 D
1 182 2 D
2 183 2 U
2 183 2 U
2 184 2 U
2 184 2 U
2 185 2 U
2 185 2 U
2 186 2 U
1 186 2 D
1 187 2 D
2 187 2 U
2 188 2 U
2 188 2 U
1 189 2 D
2 189 2 U
2 190 2 U
1 190 2 D
1 191 2 R
1 191 2 R
2 191 2 R
2 192 2 L
1 193 2 D
1 193 2 D
1 194 2 D
2 194 2 U
1 196 2 L
1 196 2 L
2 196 2 L
2 196 2 L
1 197 2 R
1 197 2 R
2 198 2 L
2 198 2 L
1 200 2 L
1 199 2 R
2 199 2 R
2 199 2 R
2 201 2 U
1 201 2 D
1 202 2 D
2 202 2 U
1 203 2 R
1 203 2 R
2 203 2 R
2 204 2 L
1 205 2 R
1 205 2 R
2 205 2 R
2 205 2 R
1 207 2 D
2 207 2 U
2 208 2 U
2 208 2 U
2 209 2 U
1 209 2 D
2 210 2 U
1 210 2 D
1 212 2 L
1 211 2 R
2 212 2 L
2 212 2 L
1 213 2 D
2 213 2 U
1 214 2 D
1 214 2 D
2 215 2 U
2 215 2 U
2 216 2 U
1 216 2 D
1 217 2 D
1 217 2 D
2 218 2 U
1 218 2 D
1 219 2 R
1 220 2 L
2 220 2 L
2 220 2 L
2 221 2 U
1 221 2 D
2 222 2 U
1 222 2 D
1 224 2 L
1 223 2 R
2 224 2 L
2 223 2 R
1 225 2 R
1 225 2 R
2 225 2 R
2 225 2 R
1 228 2 L
1 228 2 L
2 227 2 R
2 227 2 R
1 230 2 L
1 230 2 L
2 229 2 R
2 229 2 R
2 231 2 U
2 231 2 U
2 232 2 U
2 232 2 U
2 233 2 U
2 233 2 U
1 234 2 D
1 234 2 D
1 236 2 L
1 235 2 R
2 235 2 R
2 235 2 R
1 238 2 L
1 238 2 L
2 237 2 R
2 237 2 R
