499 499 56
423 487 26 U
232 409 25 L
66 416 4 U
228 423 28 D
394 239 14 D
385 285 3 L
492 330 6 R
152 209 11 R
339 225 23 L
162 227 8 U
194 447 7 R
337 442 16 U
21 151 5 L
435 62 11 R
18 155 8 R
405 325 28 U
339 186 21 L
332 459 27 D
386 343 4 R
177 396 13 D
464 458 18 R
201 254 14 U
23 243 9 U
210 45 28 R
46 134 16 D
145 48 17 U
176 373 21 R
143 198 9 R
26 72 7 R
443 313 27 L
494 354 25 L
192 59 22 L
146 15 7 D
481 244 17 L
199 308 13 D
345 309 21 D
90 152 4 U
37 43 13 L
117 269 6 U
95 341 27 R
363 236 20 L
164 277 21 L
263 199 18 D
34 32 20 U
228 209 12 D
269 172 9 R
274 388 12 R
13 120 28 D
79 207 19 L
471 114 20 U
381 454 28 R
354 489 12 L
10 405 28 D
76 405 13 D
372 263 12 R
431 146 17 R
